start_s	stop_s	stream	name
1.785311791568951e9	1.7853117915689511e9	13	[copy pageable to device memory]
1.7853117916956398e9	1.7853117917004793e9	23	cuda_track_kernel_(Phase6DRep<CuDeviceArray<Float64, 1, 1>>, Tuple<Linear6D<Symplectic6DMap, Float64>, ThinCrabCavity<3, Symplectic6DMap, Float64>, Linear6D<Symplectic6DMap, Float64>, LorentzBoost<NonSymplectic6DMap, Float64>>, Int64, TrackingContext)
1.7853117916993215e9	1.7853117917017212e9	24	cuda_track_kernel_(Phase6DRep<CuDeviceArray<Float64, 1, 1>>, Tuple<Linear6D<Symplectic6DMap, Float64>, ThinCrabCavity<3, Symplectic6DMap, Float64>, Linear6D<Symplectic6DMap, Float64>, LorentzBoost<NonSymplectic6DMap, Float64>>, Int64, TrackingContext)
1.7853117917088957e9	1.78531179170896e9	13	partial_mapreduce_grid(identity, min, Float64, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>, Val<true>, CuDeviceArray<Float64, 2, 1>, CuDeviceArray<Float64, 1, 1>)
1.7853117917089608e9	1.7853117917089636e9	13	partial_mapreduce_grid(identity, min, Float64, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Val<true>, CuDeviceArray<Float64, 2, 1>, CuDeviceArray<Float64, 2, 1>)
1.785311791709029e9	1.7853117917090302e9	13	[copy device to pageable memory]
1.7853117917091455e9	1.7853117917091827e9	13	partial_mapreduce_grid(identity, max, Float64, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>, Val<true>, CuDeviceArray<Float64, 2, 1>, CuDeviceArray<Float64, 1, 1>)
1.785311791709193e9	1.7853117917091956e9	13	partial_mapreduce_grid(identity, max, Float64, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, CartesianIndices<2, Tuple<OneTo<Int64>, OneTo<Int64>>>, Val<true>, CuDeviceArray<Float64, 2, 1>, CuDeviceArray<Float64, 2, 1>)
1.7853117917092113e9	1.7853117917092128e9	13	[copy device to pageable memory]
1.7853117917092965e9	1.7853117917093105e9	13	partial_mapreduce_grid(identity, add_sum, Float64, CartesianIndices<1, Tuple<OneTo<Int64>>>, CartesianIndices<1, Tuple<OneTo<Int64>>>, Val<true>, CuDeviceArray<Float64, 2, 1>, CuDeviceArray<Float64, 1, 1>)
