turn	ele_ex	ele_ey	pro_ex	pro_ey
0	2.03740800e-08	1.60491000e-09	1.13159000e-08	1.00113900e-09
16	2.21934000e-08	1.62774600e-09	1.13345600e-08	1.01068100e-09
32	2.23235700e-08	1.62932900e-09	1.13644900e-08	1.00703400e-09
48	2.23407600e-08	1.63685600e-09	1.13705000e-08	1.00671100e-09
64	2.23744100e-08	1.63602800e-09	1.13559000e-08	1.00889400e-09
80	2.23760500e-08	1.63751300e-09	1.13623100e-08	1.00686600e-09
96	2.24059900e-08	1.63977000e-09	1.13622700e-08	1.00809000e-09
112	2.23824100e-08	1.64078200e-09	1.13621300e-08	1.00761200e-09
128	2.23830400e-08	1.64586500e-09	1.13626100e-08	1.00738100e-09
144	2.24334900e-08	1.64901800e-09	1.13614300e-08	1.00811000e-09
160	2.24400500e-08	1.64579700e-09	1.13595400e-08	1.00756600e-09
176	2.24631600e-08	1.64838200e-09	1.13596400e-08	1.00779300e-09
192	2.24757400e-08	1.65203200e-09	1.13610600e-08	1.00759800e-09
208	2.25201600e-08	1.65188200e-09	1.13621100e-08	1.00783900e-09
224	2.25437400e-08	1.65401500e-09	1.13574100e-08	1.00803400e-09
240	2.25071800e-08	1.65724300e-09	1.13539900e-08	1.00782400e-09
256	2.25363900e-08	1.65717100e-09	1.13600700e-08	1.00784900e-09
272	2.25658600e-08	1.65805500e-09	1.13611400e-08	1.00804600e-09
288	2.26004500e-08	1.65820400e-09	1.13600200e-08	1.00795900e-09
304	2.25870500e-08	1.66175600e-09	1.13620400e-08	1.00735800e-09
320	2.25792400e-08	1.66283900e-09	1.13598700e-08	1.00815900e-09
336	2.25894600e-08	1.66527900e-09	1.13617600e-08	1.00765100e-09
352	2.25855700e-08	1.66565400e-09	1.13612400e-08	1.00828300e-09
368	2.26058800e-08	1.66713200e-09	1.13594000e-08	1.00755000e-09
384	2.25811100e-08	1.66276600e-09	1.13587000e-08	1.00769100e-09
400	2.25803600e-08	1.66250200e-09	1.13587700e-08	1.00827400e-09
416	2.25987800e-08	1.66102500e-09	1.13604700e-08	1.00769400e-09
432	2.25972700e-08	1.66070800e-09	1.13595800e-08	1.00809700e-09
448	2.26027700e-08	1.66038800e-09	1.13566400e-08	1.00816000e-09
464	2.25701900e-08	1.66218000e-09	1.13583900e-08	1.00796500e-09
480	2.25673400e-08	1.66358400e-09	1.13595200e-08	1.00827400e-09
496	2.25612400e-08	1.66271600e-09	1.13626400e-08	1.00819300e-09
512	2.25823700e-08	1.66102500e-09	1.13631800e-08	1.00814700e-09
528	2.26566000e-08	1.66204200e-09	1.13621500e-08	1.00808400e-09
544	2.26282700e-08	1.66197800e-09	1.13626300e-08	1.00800900e-09
560	2.26665500e-08	1.66666700e-09	1.13602600e-08	1.00815200e-09
576	2.26696400e-08	1.66824200e-09	1.13612400e-08	1.00830100e-09
592	2.26776100e-08	1.66881600e-09	1.13556500e-08	1.00822800e-09
608	2.26700400e-08	1.66882100e-09	1.13563600e-08	1.00796800e-09
624	2.26976800e-08	1.66851300e-09	1.13592300e-08	1.00809700e-09
640	2.26995900e-08	1.66575300e-09	1.13603200e-08	1.00822200e-09
656	2.27009300e-08	1.66382000e-09	1.13601200e-08	1.00846300e-09
672	2.27517000e-08	1.66133400e-09	1.13589000e-08	1.00794600e-09
688	2.26795900e-08	1.66011600e-09	1.13601200e-08	1.00861800e-09
704	2.27177000e-08	1.65931300e-09	1.13631200e-08	1.00832400e-09
720	2.27239100e-08	1.65850100e-09	1.13621900e-08	1.00818500e-09
736	2.27086100e-08	1.66134400e-09	1.13550300e-08	1.00905500e-09
752	2.27471800e-08	1.66188500e-09	1.13556900e-08	1.00799100e-09
768	2.27371600e-08	1.66069100e-09	1.13609500e-08	1.00884200e-09
784	2.26972500e-08	1.66370300e-09	1.13654100e-08	1.00824900e-09
800	2.27198400e-08	1.66521300e-09	1.13627700e-08	1.00884800e-09
816	2.27273300e-08	1.66629500e-09	1.13606300e-08	1.00854800e-09
832	2.27216500e-08	1.66689300e-09	1.13602900e-08	1.00829700e-09
848	2.27199900e-08	1.66661400e-09	1.13582900e-08	1.00853200e-09
864	2.26800900e-08	1.66772800e-09	1.13589500e-08	1.00878600e-09
880	2.27062600e-08	1.66834800e-09	1.13633500e-08	1.00873800e-09
896	2.26916900e-08	1.66655700e-09	1.13615100e-08	1.00832600e-09
912	2.27009200e-08	1.66727900e-09	1.13613700e-08	1.00892700e-09
928	2.27703500e-08	1.66500700e-09	1.13632900e-08	1.00853800e-09
944	2.27934500e-08	1.66375500e-09	1.13630900e-08	1.00884300e-09
960	2.27553700e-08	1.66393300e-09	1.13632700e-08	1.00845900e-09
976	2.27259500e-08	1.66806900e-09	1.13637100e-08	1.00901000e-09
992	2.27992500e-08	1.67288900e-09	1.13647000e-08	1.00881900e-09
1008	2.27984200e-08	1.67426400e-09	1.13619100e-08	1.00919800e-09
1024	2.27495000e-08	1.67286800e-09	1.13587400e-08	1.00927300e-09
1040	2.27370200e-08	1.67169100e-09	1.13601600e-08	1.00889400e-09
1056	2.27636200e-08	1.67381100e-09	1.13598300e-08	1.00902000e-09
1072	2.26919400e-08	1.67102100e-09	1.13598000e-08	1.00880400e-09
1088	2.27088500e-08	1.67256100e-09	1.13636900e-08	1.00876300e-09
1104	2.27228300e-08	1.67672900e-09	1.13616100e-08	1.00915600e-09
1120	2.28130000e-08	1.67710300e-09	1.13609100e-08	1.00924500e-09
1136	2.27914300e-08	1.67582900e-09	1.13630100e-08	1.00883900e-09
1152	2.27665800e-08	1.67674000e-09	1.13610800e-08	1.00927600e-09
1168	2.27349200e-08	1.67841000e-09	1.13595700e-08	1.00943600e-09
