turn	ele_ex	ele_ey	pro_ex	pro_ey
0	2.10097226e-08	1.62621702e-09	1.12839686e-08	1.00534313e-09
16	2.21133753e-08	1.65399841e-09	1.13098446e-08	1.01227035e-09
32	2.22559512e-08	1.65860363e-09	1.13387920e-08	1.00979866e-09
48	2.22729071e-08	1.65989377e-09	1.13313686e-08	1.00957850e-09
64	2.22574276e-08	1.66514967e-09	1.13246970e-08	1.01064529e-09
80	2.22685663e-08	1.66876298e-09	1.13263977e-08	1.00934998e-09
96	2.22493103e-08	1.66916901e-09	1.13277515e-08	1.00992904e-09
112	2.22767964e-08	1.67053468e-09	1.13260603e-08	1.01055216e-09
128	2.22900453e-08	1.67151548e-09	1.13253213e-08	1.00966273e-09
144	2.23189304e-08	1.67202577e-09	1.13265065e-08	1.01002829e-09
160	2.23449384e-08	1.67518757e-09	1.13275672e-08	1.00992587e-09
176	2.23567764e-08	1.67294136e-09	1.13268250e-08	1.00976061e-09
192	2.23458986e-08	1.67681090e-09	1.13280113e-08	1.01058886e-09
208	2.23287672e-08	1.67885240e-09	1.13283400e-08	1.00977498e-09
224	2.24109499e-08	1.67859839e-09	1.13251774e-08	1.01042534e-09
240	2.24491126e-08	1.67781122e-09	1.13227975e-08	1.01060659e-09
256	2.24753466e-08	1.67931771e-09	1.13256824e-08	1.01008280e-09
272	2.24756530e-08	1.67810090e-09	1.13303452e-08	1.01022292e-09
288	2.24985111e-08	1.68145833e-09	1.13285575e-08	1.01040077e-09
304	2.26129338e-08	1.68345784e-09	1.13252222e-08	1.01032640e-09
320	2.26507716e-08	1.68378803e-09	1.13254269e-08	1.01019523e-09
336	2.26230468e-08	1.68312761e-09	1.13251919e-08	1.01039430e-09
352	2.26472983e-08	1.68245609e-09	1.13252300e-08	1.01082668e-09
368	2.26506251e-08	1.67936083e-09	1.13262380e-08	1.00979467e-09
384	2.26678017e-08	1.68713525e-09	1.13243543e-08	1.01048736e-09
400	2.26285854e-08	1.68862170e-09	1.13248205e-08	1.01038737e-09
416	2.26160210e-08	1.68980058e-09	1.13235751e-08	1.01093902e-09
432	2.26868916e-08	1.68752272e-09	1.13236296e-08	1.01077766e-09
448	2.27309088e-08	1.68258148e-09	1.13225860e-08	1.01084722e-09
464	2.27566380e-08	1.68395648e-09	1.13232067e-08	1.01060328e-09
480	2.27504692e-08	1.68167984e-09	1.13256456e-08	1.01073803e-09
496	2.27061833e-08	1.68004599e-09	1.13259485e-08	1.01035013e-09
512	2.26954171e-08	1.67783612e-09	1.13278304e-08	1.01083209e-09
528	2.26633094e-08	1.67799020e-09	1.13264698e-08	1.01092469e-09
544	2.26704341e-08	1.68239569e-09	1.13247021e-08	1.01070493e-09
560	2.27090836e-08	1.68404221e-09	1.13238607e-08	1.01086387e-09
576	2.27065531e-08	1.68597510e-09	1.13241305e-08	1.01090056e-09
592	2.26985484e-08	1.68420898e-09	1.13235856e-08	1.01139261e-09
608	2.27421234e-08	1.68327294e-09	1.13217175e-08	1.01048010e-09
624	2.27067913e-08	1.68635369e-09	1.13201842e-08	1.01124402e-09
640	2.27073259e-08	1.69011165e-09	1.13268145e-08	1.01094864e-09
656	2.27222436e-08	1.69060671e-09	1.13277515e-08	1.01106302e-09
672	2.26998238e-08	1.69045260e-09	1.13261837e-08	1.01094841e-09
688	2.26862772e-08	1.69220189e-09	1.13260473e-08	1.01142075e-09
704	2.26508066e-08	1.69470664e-09	1.13252739e-08	1.01141309e-09
720	2.26464871e-08	1.69149343e-09	1.13255335e-08	1.01153247e-09
736	2.26523767e-08	1.69271704e-09	1.13280822e-08	1.01177617e-09
752	2.26831617e-08	1.68930881e-09	1.13292031e-08	1.01152474e-09
768	2.26660228e-08	1.68902729e-09	1.13263514e-08	1.01170748e-09
784	2.26880315e-08	1.69370704e-09	1.13233628e-08	1.01185035e-09
800	2.26576662e-08	1.69607448e-09	1.13255464e-08	1.01109084e-09
816	2.26786057e-08	1.69623387e-09	1.13266589e-08	1.01195307e-09
832	2.26809644e-08	1.69679902e-09	1.13270254e-08	1.01161242e-09
848	2.27177241e-08	1.69853649e-09	1.13269195e-08	1.01149572e-09
864	2.27406623e-08	1.69976916e-09	1.13268311e-08	1.01183906e-09
880	2.27153049e-08	1.70368812e-09	1.13255984e-08	1.01164519e-09
896	2.27156984e-08	1.70416867e-09	1.13260054e-08	1.01182591e-09
912	2.26786105e-08	1.70551286e-09	1.13300238e-08	1.01170162e-09
928	2.26886398e-08	1.69999989e-09	1.13272467e-08	1.01172110e-09
944	2.26976515e-08	1.70186663e-09	1.13226705e-08	1.01179508e-09
960	2.26739469e-08	1.70480836e-09	1.13217137e-08	1.01212708e-09
976	2.26914577e-08	1.70566803e-09	1.13254808e-08	1.01168564e-09
992	2.27217292e-08	1.70397390e-09	1.13293038e-08	1.01227043e-09
1008	2.27045491e-08	1.70371799e-09	1.13286234e-08	1.01202232e-09
1024	2.26893112e-08	1.70177249e-09	1.13262016e-08	1.01228670e-09
1040	2.27015704e-08	1.69859382e-09	1.13242506e-08	1.01243627e-09
1056	2.26923079e-08	1.70024251e-09	1.13270411e-08	1.01193558e-09
1072	2.26695533e-08	1.69724085e-09	1.13281520e-08	1.01263875e-09
1088	2.26517372e-08	1.69681357e-09	1.13241580e-08	1.01217936e-09
1104	2.26768460e-08	1.69558140e-09	1.13248422e-08	1.01222225e-09
1120	2.26440396e-08	1.69797124e-09	1.13283984e-08	1.01211448e-09
1136	2.26242356e-08	1.70073032e-09	1.13282421e-08	1.01223930e-09
1152	2.25721648e-08	1.69846255e-09	1.13252391e-08	1.01256203e-09
1168	2.25414086e-08	1.69690536e-09	1.13238206e-08	1.01220890e-09
1184	2.25353087e-08	1.69815734e-09	1.13253756e-08	1.01261317e-09
1200	2.25603510e-08	1.70004590e-09	1.13271971e-08	1.01253853e-09
1216	2.25970124e-08	1.69637491e-09	1.13276005e-08	1.01261490e-09
1232	2.25869809e-08	1.69832412e-09	1.13290884e-08	1.01219821e-09
1248	2.26185327e-08	1.69530938e-09	1.13264884e-08	1.01245192e-09
1264	2.26442219e-08	1.69563628e-09	1.13250141e-08	1.01263625e-09
1280	2.26341109e-08	1.69357634e-09	1.13252343e-08	1.01256561e-09
1296	2.26581640e-08	1.69389099e-09	1.13294223e-08	1.01267817e-09
1312	2.27067735e-08	1.69408416e-09	1.13291111e-08	1.01211762e-09
1328	2.27117240e-08	1.69454019e-09	1.13257178e-08	1.01270028e-09
1344	2.27030395e-08	1.69695265e-09	1.13248519e-08	1.01291291e-09
1360	2.26939547e-08	1.69698779e-09	1.13285857e-08	1.01273783e-09
1376	2.27408675e-08	1.69996203e-09	1.13303607e-08	1.01220113e-09
1392	2.27745168e-08	1.70105625e-09	1.13255583e-08	1.01309284e-09
1408	2.27523670e-08	1.69658557e-09	1.13247027e-08	1.01272205e-09
1424	2.26797983e-08	1.69172265e-09	1.13283185e-08	1.01246376e-09
1440	2.26765449e-08	1.69141797e-09	1.13306601e-08	1.01292734e-09
1456	2.26381118e-08	1.69218657e-09	1.13294524e-08	1.01255193e-09
1472	2.26494351e-08	1.68907928e-09	1.13271922e-08	1.01276586e-09
1488	2.27037116e-08	1.69422398e-09	1.13272825e-08	1.01302443e-09
1504	2.26875984e-08	1.69753966e-09	1.13304717e-08	1.01296388e-09
1520	2.26599871e-08	1.69651318e-09	1.13284391e-08	1.01306264e-09
1536	2.26190952e-08	1.69377384e-09	1.13253550e-08	1.01316607e-09
1552	2.26695635e-08	1.69131582e-09	1.13243389e-08	1.01267856e-09
1568	2.26519808e-08	1.69340868e-09	1.13283438e-08	1.01323332e-09
1584	2.26421157e-08	1.69725673e-09	1.13307130e-08	1.01324727e-09
1600	2.26298464e-08	1.69400117e-09	1.13298517e-08	1.01302840e-09
1616	2.25698929e-08	1.69329886e-09	1.13285621e-08	1.01275426e-09
1632	2.25671958e-08	1.69247724e-09	1.13271727e-08	1.01273959e-09
1648	2.25594916e-08	1.69505501e-09	1.13289671e-08	1.01301086e-09
1664	2.25468225e-08	1.68935689e-09	1.13309113e-08	1.01293845e-09
1680	2.25710222e-08	1.68957964e-09	1.13309587e-08	1.01303202e-09
1696	2.26070462e-08	1.68719509e-09	1.13294805e-08	1.01321605e-09
1712	2.26226378e-08	1.68616258e-09	1.13284786e-08	1.01262705e-09
1728	2.26095280e-08	1.68439917e-09	1.13282661e-08	1.01326934e-09
