# Octopus per-turn geometric emittance, aspect=1.0 xi=0.005
turn	ex	ey
1	2.0430920781399194e-8	2.0430282323390607e-8
8	2.042833239349064e-8	2.0430690876746707e-8
16	2.0428709362331846e-8	2.0430154065044197e-8
24	2.043043562429179e-8	2.0428671490381435e-8
32	2.0431701754140602e-8	2.042886736984142e-8
40	2.0430983155822425e-8	2.0428547431174877e-8
48	2.0429175762702585e-8	2.0429592855061993e-8
56	2.0428256759751637e-8	2.0431790144859617e-8
64	2.042901682014594e-8	2.043320122422216e-8
72	2.043086805667852e-8	2.0431319865490674e-8
80	2.043260864171211e-8	2.0428275481852438e-8
88	2.043252936636e-8	2.0429789383024474e-8
96	2.0430589085355385e-8	2.0431126962872845e-8
104	2.0428834538710655e-8	2.0432708458978882e-8
112	2.0429279561323156e-8	2.0434108426345363e-8
120	2.0431659143021137e-8	2.0433321286126887e-8
128	2.0433779502383568e-8	2.043063213318659e-8
136	2.0433677560496504e-8	2.0428811085666546e-8
144	2.0431572677087787e-8	2.043197746390823e-8
152	2.0429594166017407e-8	2.0433040018583474e-8
160	2.0429618961603192e-8	2.0433976299524054e-8
168	2.043186177890692e-8	2.0433371468112567e-8
176	2.0434494885223285e-8	2.0431477179145645e-8
184	2.0434828502827737e-8	2.0430278108516327e-8
192	2.0432424659503473e-8	2.0431180358557703e-8
200	2.0429735034098155e-8	2.0433729037623446e-8
208	2.0429591168777072e-8	2.0433816913755784e-8
216	2.0431873612008138e-8	2.0432721390749393e-8
224	2.0434724303780163e-8	2.043213881807075e-8
232	2.043577973858065e-8	2.043088733861361e-8
240	2.0433877923652643e-8	2.04320447257815e-8
248	2.0430929781663146e-8	2.0434129077473598e-8
256	2.0429748761589906e-8	2.0434930472206344e-8
264	2.0431341182104688e-8	2.043284601543127e-8
272	2.0434014699126007e-8	2.043101470313088e-8
280	2.043536627190424e-8	2.0431532033411645e-8
288	2.043406243410802e-8	2.043216570912893e-8
296	2.0431449888516327e-8	2.0434599923786876e-8
304	2.043008742152128e-8	2.0435509889347968e-8
312	2.0431209805842522e-8	2.0434271520323353e-8
320	2.0433740192886587e-8	2.0431339910035673e-8
