turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042901366646767e-8	1.6114310255281827e-9	3.84994285619843e-6	1.1281215296509378e-8	1.0034690056970962e-9	3.959984817418013e-5
1.0	2.0924756948582108e-8	1.6235933715800367e-9	3.8499429637722224e-6	1.1285995563732922e-8	1.005736949709736e-9	3.95998477264878e-5
2.0	2.1051391432774696e-8	1.6229889024409443e-9	3.8499433703995435e-6	1.1296523371549434e-8	1.0053513212822083e-9	3.959984826123478e-5
3.0	2.0874779352598398e-8	1.6291037902836365e-9	3.849943152130976e-6	1.132264591130502e-8	1.0075441273240019e-9	3.959984727825615e-5
4.0	2.0732894539022446e-8	1.6397182735358238e-9	3.849942690738093e-6	1.1333137579023344e-8	1.0081580163635087e-9	3.959984789004522e-5
5.0	2.132751955675201e-8	1.6317933664568404e-9	3.849942889993229e-6	1.13446735229885e-8	1.0081504359616134e-9	3.959984703669918e-5
6.0	2.1920681966338434e-8	1.6390128980030632e-9	3.8499422007289895e-6	1.1355459535668702e-8	1.0098531652445244e-9	3.959984765926214e-5
7.0	2.156737873165287e-8	1.6321444434055045e-9	3.849944009427643e-6	1.135889161951549e-8	1.0092224012239451e-9	3.959984693288319e-5
8.0	2.1353109282278313e-8	1.6333169284699207e-9	3.8499435814936015e-6	1.1355201445081879e-8	1.0111466485295307e-9	3.959984700502596e-5
9.0	2.1713430323785993e-8	1.642108103097256e-9	3.849943363271651e-6	1.1346705037508347e-8	1.0108439561178673e-9	3.959984687025852e-5
10.0	2.2473873438501333e-8	1.6373007351314861e-9	3.849942671877486e-6	1.1330895575142096e-8	1.0126707844446457e-9	3.9599846691070925e-5
11.0	2.2334968980503486e-8	1.642464363283609e-9	3.849942705355147e-6	1.1306658244609283e-8	1.0127984572997109e-9	3.95998470519014e-5
12.0	2.1862153213972755e-8	1.6453471339653762e-9	3.84994227184835e-6	1.129510106176404e-8	1.0132042189946035e-9	3.9599846309810004e-5
13.0	2.1935678325417424e-8	1.6434144771304496e-9	3.849943079913192e-6	1.1286278682287638e-8	1.013683400186702e-9	3.959984686037244e-5
14.0	2.2421413108897377e-8	1.647965970638871e-9	3.849943396549438e-6	1.1283310187615474e-8	1.0132518198346055e-9	3.9599846355966856e-5
15.0	2.244622634571541e-8	1.646242513625759e-9	3.849943770795726e-6	1.1282427634094163e-8	1.0138440049128282e-9	3.959984690324366e-5
16.0	2.2207222116841044e-8	1.6431297286232583e-9	3.849943043581256e-6	1.1295776539596691e-8	1.0126746036983791e-9	3.9599846621040734e-5
17.0	2.2116970419973096e-8	1.6423886871589486e-9	3.849942532881561e-6	1.1303848974894982e-8	1.0125204066768343e-9	3.9599846615809364e-5
18.0	2.2236695484031625e-8	1.6433592344306522e-9	3.8499424511174e-6	1.132473841037694e-8	1.0110983328589388e-9	3.9599846761068426e-5
19.0	2.226949910802534e-8	1.6418973601156307e-9	3.8499424669182784e-6	1.13352397561773e-8	1.0102313473992804e-9	3.9599846667808635e-5
20.0	2.222441324355637e-8	1.6435814697093854e-9	3.84994320149527e-6	1.1348199131718266e-8	1.0094213395435719e-9	3.959984702547218e-5
21.0	2.22676149444104e-8	1.646418433429337e-9	3.849942725564125e-6	1.1348369068692179e-8	1.0085733399862727e-9	3.95998468875978e-5
22.0	2.226982815690092e-8	1.644518126159615e-9	3.849943579754141e-6	1.1351998336128922e-8	1.0084312262470372e-9	3.959984721937684e-5
23.0	2.222048044477725e-8	1.6482333093284262e-9	3.849943389786512e-6	1.1341415150438893e-8	1.0076084412040386e-9	3.959984727476313e-5
24.0	2.2184104749934313e-8	1.6462969030750934e-9	3.84994296765899e-6	1.1334763492634138e-8	1.0076824267058422e-9	3.9599847364653323e-5
25.0	2.2255381145013866e-8	1.6450447139102885e-9	3.8499420026879795e-6	1.132065006477994e-8	1.0071107595834198e-9	3.959984759480381e-5
26.0	2.229287250538102e-8	1.6434395156655072e-9	3.849942759548079e-6	1.13130442064658e-8	1.0072309241391001e-9	3.9599847726030356e-5
27.0	2.2283009172253382e-8	1.6441588122857864e-9	3.849942716383665e-6	1.1303740970640925e-8	1.0072003667048543e-9	3.95998481526296e-5
28.0	2.2237839360425177e-8	1.644857766131368e-9	3.849942709577409e-6	1.1302453070575718e-8	1.0073845133937071e-9	3.959984843561346e-5
29.0	2.224810870236029e-8	1.6455839127970003e-9	3.849943703369184e-6	1.130513442495185e-8	1.008003440144462e-9	3.959984890525574e-5
30.0	2.225222622159205e-8	1.6482652439315117e-9	3.849943600869357e-6	1.1308881178876202e-8	1.0082834137685737e-9	3.9599849079918596e-5
31.0	2.225810408495261e-8	1.648752231112642e-9	3.849942922967308e-6	1.1319514514603333e-8	1.0089863380839036e-9	3.959984915714871e-5
