turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042901366646767e-8	1.6114310255281827e-9	3.84994285619843e-6	1.1281215296509378e-8	1.0034690056970962e-9	3.959984817418013e-5
1.0	2.0958978790134924e-8	1.624096238274671e-9	3.849942972128242e-6	1.1285757038990456e-8	1.0056169194521376e-9	3.959984767902557e-5
2.0	2.1076681059613363e-8	1.6234328477361644e-9	3.849943370769708e-6	1.1292368754098295e-8	1.0051095150282996e-9	3.959984821759546e-5
3.0	2.0894535077747215e-8	1.630648276772369e-9	3.849943132837079e-6	1.13165093559682e-8	1.007174801028517e-9	3.959984723129362e-5
4.0	2.0745277757727538e-8	1.6417215452304899e-9	3.84994271223285e-6	1.1327635361665873e-8	1.0077017202207128e-9	3.959984784725122e-5
5.0	2.147746699721059e-8	1.6333257748871592e-9	3.849942875389505e-6	1.1338614716890905e-8	1.0076811580859847e-9	3.9599847054318104e-5
6.0	2.2042830361053322e-8	1.6415051305012957e-9	3.849942234780825e-6	1.134440769208933e-8	1.0090157242557734e-9	3.959984771184415e-5
7.0	2.1599592506625203e-8	1.6331738267794068e-9	3.849944073924371e-6	1.1346599573883793e-8	1.008339225946063e-9	3.959984700925614e-5
8.0	2.1392314133848545e-8	1.6351901130762015e-9	3.849943608212142e-6	1.1342281976074491e-8	1.0104092875775194e-9	3.9599847150749545e-5
9.0	2.1881232851658945e-8	1.643137447126428e-9	3.84994334966587e-6	1.1333049685501051e-8	1.0099454456973303e-9	3.959984711080694e-5
10.0	2.255775955766933e-8	1.6380189524280462e-9	3.8499427218552174e-6	1.1321641141771987e-8	1.0115333591635088e-9	3.959984692299124e-5
11.0	2.2322995952243776e-8	1.642524522500785e-9	3.849942820298774e-6	1.1304610625221206e-8	1.0114888067295219e-9	3.959984723222419e-5
12.0	2.1895531262668258e-8	1.6447349984079399e-9	3.849942353726472e-6	1.1292342670131879e-8	1.0119669568981234e-9	3.959984662032522e-5
