turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042908293953415e-8	1.6115840823421875e-9	3.8499871731240865e-6	1.1281249147272375e-8	1.0034676489862682e-9	3.959997587408601e-5
1.0	2.0920443731858473e-8	1.6249160838595725e-9	3.849987616440322e-6	1.1285664489031434e-8	1.0051407492463319e-9	3.9599975919031295e-5
2.0	2.1027976510285864e-8	1.6232649008318665e-9	3.849988244059043e-6	1.129720330569679e-8	1.004986933020982e-9	3.9599976140007446e-5
3.0	2.0866834062110637e-8	1.6321565553237135e-9	3.849988463840359e-6	1.1315881664311662e-8	1.0071075780496055e-9	3.9599975821688514e-5
4.0	2.0744330294332795e-8	1.6452884350031124e-9	3.84998797877619e-6	1.1327294413315886e-8	1.007841973963243e-9	3.959997621912142e-5
5.0	2.1371396752452e-8	1.6350033922898612e-9	3.849987489365217e-6	1.1336971614618907e-8	1.0081757299447498e-9	3.9599975711065814e-5
6.0	2.1947623886429632e-8	1.6433159922644965e-9	3.8499867772337466e-6	1.134754720799813e-8	1.0094260782478571e-9	3.9599975843116916e-5
7.0	2.1556565427827824e-8	1.6368803810628717e-9	3.849987675100818e-6	1.135341234023496e-8	1.0090563345785864e-9	3.95999754699015e-5
8.0	2.1364865799337888e-8	1.6386616365536683e-9	3.849988048199069e-6	1.1351211847729445e-8	1.0102215976152322e-9	3.959997529193293e-5
9.0	2.1746189045978635e-8	1.6503261007476152e-9	3.849987867675999e-6	1.1344209927214485e-8	1.0099045557844347e-9	3.959997544772268e-5
10.0	2.2495592671369895e-8	1.6438558291583404e-9	3.849988095914081e-6	1.1331046902501813e-8	1.0113682082673204e-9	3.9599975044329204e-5
11.0	2.233954687901783e-8	1.6503274287074111e-9	3.8499876873531106e-6	1.1309048039067746e-8	1.0116089717060629e-9	3.959997532392671e-5
12.0	2.1857058445072526e-8	1.6515875510863674e-9	3.84998720148591e-6	1.1300263002908928e-8	1.0124121655831394e-9	3.959997476256027e-5
13.0	2.1949604661012135e-8	1.6503760604258116e-9	3.8499878008624585e-6	1.1289793302340439e-8	1.0126982552605123e-9	3.9599974902060906e-5
14.0	2.2365531309640493e-8	1.6541481016256634e-9	3.8499883873862156e-6	1.1286328517223993e-8	1.0127120607665526e-9	3.959997468883243e-5
15.0	2.2461406716770386e-8	1.6499608019773794e-9	3.849987191162043e-6	1.1286018084172167e-8	1.012712400787896e-9	3.9599974575048475e-5
16.0	2.221295756217898e-8	1.6486203170463678e-9	3.849986998457947e-6	1.129382829254274e-8	1.011676225052892e-9	3.959997449779039e-5
17.0	2.211348641809978e-8	1.6482278561530212e-9	3.849987869344859e-6	1.130264969510428e-8	1.0118542066992478e-9	3.9599974049247786e-5
18.0	2.217916060157868e-8	1.6489077464310694e-9	3.84998762383526e-6	1.13153588006936e-8	1.0102647597333628e-9	3.959997407523695e-5
19.0	2.222229537573157e-8	1.6511236162947559e-9	3.849988175975887e-6	1.1326072306643268e-8	1.0103492804232824e-9	3.959997374901e-5
20.0	2.2239806694601954e-8	1.6531918232386526e-9	3.849987929518467e-6	1.1338035415113776e-8	1.0092550076532313e-9	3.959997386570657e-5
21.0	2.2276587604238294e-8	1.652584895951963e-9	3.849986674347722e-6	1.1339002178563673e-8	1.0092581124766037e-9	3.959997387052698e-5
22.0	2.221534507457207e-8	1.65320645412259e-9	3.849986892075091e-6	1.1344785227932812e-8	1.0087100179072295e-9	3.959997387924534e-5
23.0	2.2175006270125494e-8	1.6524593291833364e-9	3.849987720633727e-6	1.1336454493512433e-8	1.0084490206552163e-9	3.9599974332349236e-5
24.0	2.2157552420641566e-8	1.6512311678942934e-9	3.8499879037032e-6	1.133109899837132e-8	1.0084310215427983e-9	3.959997399910287e-5
25.0	2.2265321082756923e-8	1.6507754616274028e-9	3.849987982664411e-6	1.1320817193311512e-8	1.007822669256071e-9	3.959997450028534e-5
26.0	2.2303925536638758e-8	1.6522073883935966e-9	3.8499874687509644e-6	1.131339446235649e-8	1.0082507503846315e-9	3.959997405097945e-5
27.0	2.22394949943509e-8	1.6518884297769077e-9	3.849986446787685e-6	1.1305095872279912e-8	1.0075756899561307e-9	3.959997468934669e-5
28.0	2.2208233124123686e-8	1.6524681782133208e-9	3.849986421280986e-6	1.1304382633837096e-8	1.0084370302904596e-9	3.959997447730428e-5
29.0	2.219586464954901e-8	1.6546277468963158e-9	3.849987568609542e-6	1.1302336302331206e-8	1.0081941334278604e-9	3.9599975029841843e-5
30.0	2.2242872056806203e-8	1.6547798112306139e-9	3.84998825461389e-6	1.1308770874012823e-8	1.0090230231419698e-9	3.9599974984390584e-5
31.0	2.2283456995408726e-8	1.6545483732274059e-9	3.849988141070557e-6	1.1313528743954419e-8	1.009353246531146e-9	3.959997523585662e-5
32.0	2.226479388873004e-8	1.654160940705407e-9	3.8499873859986636e-6	1.1321109388897538e-8	1.009663999853915e-9	3.95999753058004e-5
33.0	2.2253486097291396e-8	1.6545665439916023e-9	3.8499871130016286e-6	1.132939276850748e-8	1.0103756308067504e-9	3.9599975108571584e-5
34.0	2.2194192464662653e-8	1.65421462250987e-9	3.849986406730994e-6	1.1330505361789447e-8	1.0100639895997677e-9	3.9599975466199655e-5
35.0	2.2235722309327855e-8	1.6552970199177446e-9	3.849986776751346e-6	1.133581514538656e-8	1.010708773971836e-9	3.959997494730993e-5
36.0	2.228143689911585e-8	1.6560530982334613e-9	3.849987717705568e-6	1.1329454096323648e-8	1.0101932956002708e-9	3.959997535711185e-5
37.0	2.2294041341519255e-8	1.6561688257661135e-9	3.849988422029002e-6	1.1329668464629148e-8	1.0105143612577383e-9	3.959997485805377e-5
38.0	2.2248830016454067e-8	1.656473388303157e-9	3.849987781776179e-6	1.1320194144698429e-8	1.0103031997794243e-9	3.9599975062753214e-5
39.0	2.2221456857520036e-8	1.6558637764679214e-9	3.849987139950097e-6	1.1319187789853682e-8	1.010612808893026e-9	3.959997478594014e-5
40.0	2.2270004933796608e-8	1.655989140900421e-9	3.849986903936445e-6	1.1310176298127569e-8	1.010724238811779e-9	3.9599974851237025e-5
41.0	2.230268596328604e-8	1.657623320478455e-9	3.849986114815991e-6	1.131251367055924e-8	1.0107270480700335e-9	3.9599974804483144e-5
42.0	2.2265820728381473e-8	1.6558336735774843e-9	3.849986991939488e-6	1.1306599917043573e-8	1.0107797430307128e-9	3.959997481953227e-5
43.0	2.2250229745611404e-8	1.657738353396798e-9	3.849988127270855e-6	1.1314260598646979e-8	1.009956120360937e-9	3.959997481055808e-5
44.0	2.224594321157756e-8	1.6582103351690029e-9	3.849988416969121e-6	1.1314214663921616e-8	1.0098032010975477e-9	3.9599974843745574e-5
45.0	2.2299167530289136e-8	1.6587037207010173e-9	3.8499874062364855e-6	1.1322738150882765e-8	1.0088347398891288e-9	3.959997484574283e-5
46.0	2.224579916508742e-8	1.6585162280379273e-9	3.849986809594305e-6	1.1325545251377757e-8	1.008852185225965e-9	3.95999748475914e-5
47.0	2.2234579865798302e-8	1.6577633291666646e-9	3.849987365593459e-6	1.1330054913596322e-8	1.0086589295184327e-9	3.959997489206814e-5
48.0	2.2275123208612832e-8	1.6584045839927962e-9	3.849986953879388e-6	1.1332009701634785e-8	1.0088987717244567e-9	3.959997473572086e-5
49.0	2.22979789440373e-8	1.6564579069706914e-9	3.849987470720287e-6	1.133050626342408e-8	1.0092776857460443e-9	3.9599974912402684e-5
50.0	2.2265331135639877e-8	1.658473789398587e-9	3.849988256350051e-6	1.133044341453533e-8	1.0094118695133473e-9	3.9599974714436766e-5
51.0	2.2214826274951042e-8	1.658348575086507e-9	3.849987900458367e-6	1.132453915820041e-8	1.009608532474737e-9	3.959997494047053e-5
52.0	2.227186589458934e-8	1.6583456161939866e-9	3.84998702528211e-6	1.1323461361076305e-8	1.009478802106692e-9	3.9599974883628866e-5
53.0	2.2331444949091602e-8	1.660358675367784e-9	3.849987202836538e-6	1.1315456193139988e-8	1.009542273686881e-9	3.959997500972423e-5
54.0	2.2265002374862552e-8	1.6591846866700075e-9	3.849987636929728e-6	1.1316834582880056e-8	1.0093541561968123e-9	3.959997490689727e-5
55.0	2.220671292647542e-8	1.6590056387643146e-9	3.8499870152216766e-6	1.1311672720742719e-8	1.0095540556130937e-9	3.9599974816864354e-5
56.0	2.2267269788359157e-8	1.6581821620636627e-9	3.849987554867865e-6	1.1317859073909053e-8	1.0096469047324835e-9	3.959997467668118e-5
57.0	2.2343264603196092e-8	1.6579995863155257e-9	3.8499874836079655e-6	1.1317309487571789e-8	1.0100365820846465e-9	3.95999744769224e-5
58.0	2.2303117542114826e-8	1.6576183089491678e-9	3.8499868648580725e-6	1.1325559226781862e-8	1.0102681791782914e-9	3.9599974418272285e-5
59.0	2.2202540490606826e-8	1.6568403572520417e-9	3.849987464650599e-6	1.1326372751374417e-8	1.0106471243169748e-9	3.959997435440004e-5
60.0	2.227671625775102e-8	1.6580242412206217e-9	3.849987605179243e-6	1.133082490674006e-8	1.010914774517037e-9	3.959997439896568e-5
61.0	2.2345227995733653e-8	1.659385668356022e-9	3.849987210880826e-6	1.1329675924984516e-8	1.0108779727714264e-9	3.9599974408077505e-5
62.0	2.2299182873176317e-8	1.659551146513869e-9	3.84998699252696e-6	1.1329104796605964e-8	1.011049440191556e-9	3.959997436583921e-5
63.0	2.2221815207547447e-8	1.6593078863278721e-9	3.849987561231226e-6	1.1326194120855757e-8	1.0106499706228568e-9	3.959997423439709e-5
64.0	2.2266294650863674e-8	1.6597193989345977e-9	3.849986630401348e-6	1.1321601404299216e-8	1.0106744749818893e-9	3.959997420102689e-5
65.0	2.2345082744454477e-8	1.6587823459626374e-9	3.849986774603922e-6	1.1317652671348048e-8	1.0102676512165266e-9	3.9599974000880944e-5
66.0	2.2294779894577176e-8	1.6601894584901655e-9	3.849987841064804e-6	1.1312097649625864e-8	1.0103490637999446e-9	3.9599974125447635e-5
67.0	2.223221757803245e-8	1.6595141711901888e-9	3.849987720661587e-6	1.1311991431361854e-8	1.0102068594130285e-9	3.959997418508284e-5
68.0	2.2288198770297663e-8	1.6593314251147779e-9	3.84998678492585e-6	1.1309889483810455e-8	1.0101821697663691e-9	3.9599974258165894e-5
69.0	2.2325357035394487e-8	1.660156733140877e-9	3.849986802853458e-6	1.1315782010678133e-8	1.0103724182337594e-9	3.959997441421252e-5
70.0	2.230406651123412e-8	1.6605115150361754e-9	3.849987266615441e-6	1.1318465634218057e-8	1.0100936332849803e-9	3.959997439094998e-5
