turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042901366646767e-8	1.6114310255281827e-9	3.84994285619843e-6	1.1281215296509378e-8	1.0034690056970962e-9	3.959984817418013e-5
1.0	2.0922393001970146e-8	1.6236127564659974e-9	3.8499429605148895e-6	1.1285974037657757e-8	1.0057404058759643e-9	3.9599847729732825e-5
2.0	2.104928164313975e-8	1.6230657870338518e-9	3.849943369460728e-6	1.1296461686923666e-8	1.0053538306332785e-9	3.959984826536849e-5
3.0	2.087329710203414e-8	1.6291865888642e-9	3.849943153931699e-6	1.1322484090732948e-8	1.0075702884382562e-9	3.9599847279252446e-5
4.0	2.073147059982277e-8	1.6398559438804334e-9	3.84994268514986e-6	1.1332979240537633e-8	1.0081854446340686e-9	3.959984789323952e-5
5.0	2.13221032661106e-8	1.631850768520697e-9	3.849942896937016e-6	1.1344466745956878e-8	1.008188290019863e-9	3.959984703934388e-5
6.0	2.191322447133708e-8	1.6390372864401038e-9	3.849942208768772e-6	1.135518476977277e-8	1.0098939296885064e-9	3.959984766083746e-5
7.0	2.156186411527092e-8	1.6321576929119232e-9	3.849944019382121e-6	1.1358583252924124e-8	1.0092701631069353e-9	3.959984692587506e-5
8.0	2.1347286734300943e-8	1.6332696203463158e-9	3.849943591141922e-6	1.1354861819614271e-8	1.0112038614836175e-9	3.959984700024914e-5
9.0	2.170626697643822e-8	1.6420884306516881e-9	3.84994337714784e-6	1.1346338774390703e-8	1.0108994720469345e-9	3.959984686936208e-5
10.0	2.2464109548417653e-8	1.6373153089522948e-9	3.849942663266652e-6	1.1330614344781284e-8	1.0127403972483594e-9	3.959984668579426e-5
11.0	2.2326644068344545e-8	1.6425061225347257e-9	3.84994269090495e-6	1.1306474855944471e-8	1.012873530514373e-9	3.9599847050423135e-5
12.0	2.1854890601364667e-8	1.6454105530432409e-9	3.849942281766428e-6	1.1294953980043449e-8	1.0132859576845353e-9	3.959984630067717e-5
13.0	2.1927567176739268e-8	1.6435374996064373e-9	3.849943100210783e-6	1.1286160831902777e-8	1.0137652521563896e-9	3.9599846850357964e-5
14.0	2.2413129977921592e-8	1.648112213207464e-9	3.849943397146088e-6	1.128322375712028e-8	1.0133347912233415e-9	3.9599846341776214e-5
15.0	2.2438470650203345e-8	1.6464438005959989e-9	3.849943777649762e-6	1.1282345872961667e-8	1.0139247887712397e-9	3.959984688862511e-5
16.0	2.2199825531901897e-8	1.643462853579952e-9	3.8499430643405645e-6	1.129568743914029e-8	1.0127557957746812e-9	3.959984660959652e-5
17.0	2.2109327099796642e-8	1.6427508333048052e-9	3.849942536828944e-6	1.1303769896034355e-8	1.012598318506532e-9	3.959984660163908e-5
18.0	2.2229418012932847e-8	1.64368216997729e-9	3.8499424496926505e-6	1.132463345740733e-8	1.0111688252300106e-9	3.959984674471215e-5
19.0	2.2261914208640282e-8	1.6423049940881767e-9	3.849942492225064e-6	1.133515836619139e-8	1.0103015976052788e-9	3.9599846651495716e-5
20.0	2.221775022772467e-8	1.6440060815820434e-9	3.849943223322908e-6	1.1348138948542718e-8	1.0094885490824176e-9	3.959984700279187e-5
21.0	2.2260513112224153e-8	1.6469037062054681e-9	3.84994271869483e-6	1.1348338447592434e-8	1.0086321168357256e-9	3.959984686305748e-5
22.0	2.226312093400129e-8	1.6450182130667447e-9	3.849943593168799e-6	1.1351955508221681e-8	1.0084822349878286e-9	3.959984719061425e-5
23.0	2.2213335549967934e-8	1.6487860090719293e-9	3.849943406698246e-6	1.1341363009323e-8	1.0076525337821024e-9	3.9599847251365825e-5
24.0	2.217680523060169e-8	1.646883489289243e-9	3.849942956264517e-6	1.1334654622915194e-8	1.0077290363360923e-9	3.9599847344260104e-5
25.0	2.224925140271217e-8	1.6456249863098357e-9	3.849942002929474e-6	1.1320524281526003e-8	1.0071514497860123e-9	3.959984757302071e-5
26.0	2.2286204821448493e-8	1.6440152726719018e-9	3.8499427657257135e-6	1.1312894888472515e-8	1.007281290301238e-9	3.959984770074564e-5
27.0	2.2275662775606922e-8	1.644736581476122e-9	3.8499427154713664e-6	1.1303593265065657e-8	1.007249800023381e-9	3.9599848137085856e-5
28.0	2.2230127032792912e-8	1.6455090540958617e-9	3.849942698341964e-6	1.1302314665052116e-8	1.0074360353841528e-9	3.959984841340481e-5
29.0	2.2241969108591296e-8	1.646237486623361e-9	3.849943687803508e-6	1.130496225399659e-8	1.008059255315851e-9	3.959984889508113e-5
30.0	2.2245979967153594e-8	1.6489538201863237e-9	3.849943591840682e-6	1.1308734874626602e-8	1.0083384917561623e-9	3.959984907096171e-5
31.0	2.2251031361874222e-8	1.6495371188462297e-9	3.849942925049472e-6	1.1319387943080987e-8	1.0090457609533195e-9	3.959984916169616e-5
32.0	2.228921885507197e-8	1.6487027971352857e-9	3.849942602090345e-6	1.1325710744717968e-8	1.0095037628767684e-9	3.95998491620976e-5
33.0	2.2272602360549324e-8	1.6476364387435019e-9	3.8499422009587235e-6	1.133582112871614e-8	1.0102629945709129e-9	3.959984914343583e-5
34.0	2.222337019842246e-8	1.6461077334196023e-9	3.849941932184079e-6	1.1337208355136876e-8	1.0107812891107863e-9	3.959984901292983e-5
35.0	2.2241800407635215e-8	1.6449570656902216e-9	3.8499427335861155e-6	1.1342386567293291e-8	1.0110719558105512e-9	3.9599848846447334e-5
36.0	2.227298430701153e-8	1.6459840741968492e-9	3.849943190378442e-6	1.1336001397896824e-8	1.0114091674531452e-9	3.9599848653348054e-5
