turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042901366646767e-8	1.6114310255281827e-9	3.84994285619843e-6	1.1281215296509378e-8	1.0034690056970962e-9	3.959984817418013e-5
1.0	2.0916488376683503e-8	1.62352647090232e-9	3.849942960507032e-6	1.128590578208407e-8	1.0057165052421689e-9	3.959984772848582e-5
2.0	2.1041825510278953e-8	1.6229278173613074e-9	3.849943363507691e-6	1.129604812319072e-8	1.005329325501012e-9	3.959984825959317e-5
3.0	2.0868175144095923e-8	1.628982593191068e-9	3.8499431523979785e-6	1.1321567737560708e-8	1.0074992453039479e-9	3.9599847280717075e-5
4.0	2.072532566623173e-8	1.6396053232540344e-9	3.8499426945781435e-6	1.133187891946242e-8	1.008112151851863e-9	3.9599847889303945e-5
5.0	2.1309560871951044e-8	1.6316546123742357e-9	3.849942898390364e-6	1.1343095278936514e-8	1.008098575519528e-9	3.9599847041966513e-5
6.0	2.1900734770392298e-8	1.6388404665501778e-9	3.84994220059488e-6	1.1353476075256069e-8	1.0097922291047113e-9	3.959984766163488e-5
7.0	2.1553535657329e-8	1.631986421463796e-9	3.849943998245894e-6	1.135669963075053e-8	1.0091665213865555e-9	3.959984693756615e-5
8.0	2.1337486236908766e-8	1.6331094952100012e-9	3.8499435762961505e-6	1.1353054218325927e-8	1.01108188469565e-9	3.959984700920177e-5
9.0	2.169020831435037e-8	1.6419578861291859e-9	3.849943365457411e-6	1.1344635470446605e-8	1.0107809276157796e-9	3.959984687740194e-5
10.0	2.2448664626789436e-8	1.6371389089392363e-9	3.849942673531345e-6	1.1329278412401581e-8	1.0125908115159472e-9	3.959984670058907e-5
11.0	2.231904677833474e-8	1.6422719242048711e-9	3.8499427095668844e-6	1.1305506389226989e-8	1.0127242542996483e-9	3.95998470604502e-5
12.0	2.1846510946383698e-8	1.645153562962659e-9	3.849942268525895e-6	1.129413817840897e-8	1.013128190162621e-9	3.9599846320060675e-5
13.0	2.1913349190952667e-8	1.6432141975901413e-9	3.849943063800624e-6	1.128558869199812e-8	1.0136049666603432e-9	3.959984686870815e-5
14.0	2.2398231452935798e-8	1.6477220723520675e-9	3.849943395508997e-6	1.128294125347323e-8	1.01317278365306e-9	3.9599846368238574e-5
15.0	2.2433340450029193e-8	1.6460139104231478e-9	3.849943766208758e-6	1.1282086263128183e-8	1.0137651570152108e-9	3.959984690488913e-5
16.0	2.219127228691147e-8	1.642819379746339e-9	3.8499430395562475e-6	1.1295316218356658e-8	1.0125989918488614e-9	3.959984662430248e-5
17.0	2.2095182197129335e-8	1.6420978673623538e-9	3.8499425240991425e-6	1.1303228460657497e-8	1.0124440712591188e-9	3.9599846616399603e-5
18.0	2.221633962082702e-8	1.6430803238111059e-9	3.849942462434679e-6	1.1323601229682762e-8	1.0110350854266411e-9	3.95998467625201e-5
19.0	2.2254743005296153e-8	1.6416843783327463e-9	3.849942455056516e-6	1.1333834140187674e-8	1.010170594522979e-9	3.959984666919695e-5
20.0	2.2205621455403785e-8	1.6433302248109837e-9	3.8499432131472416e-6	1.1346522794687888e-8	1.0093751684133684e-9	3.959984702793959e-5
21.0	2.22452897723726e-8	1.6462264648531096e-9	3.849942744483921e-6	1.1346564291804206e-8	1.008529937618301e-9	3.9599846893483434e-5
22.0	2.2249714717016658e-8	1.6442715699153117e-9	3.849943561967053e-6	1.1349885055583537e-8	1.0083972664945883e-9	3.959984722044639e-5
23.0	2.220315986489003e-8	1.6479655777190596e-9	3.849943381607882e-6	1.1339346617786115e-8	1.007573432399521e-9	3.959984727452682e-5
24.0	2.2164977873393942e-8	1.6459608480449529e-9	3.849942979365027e-6	1.1332713950561259e-8	1.0076426672113712e-9	3.9599847365244715e-5
25.0	2.2233898710592546e-8	1.6447075906715594e-9	3.849942007587388e-6	1.1318907983108772e-8	1.0070714411255247e-9	3.95998475967488e-5
26.0	2.227401443540494e-8	1.6431222126586637e-9	3.849942750906349e-6	1.1311389804372812e-8	1.007181609196209e-9	3.959984772265697e-5
27.0	2.226452165968662e-8	1.6437888942891722e-9	3.849942743788943e-6	1.1302354551492114e-8	1.007154050732116e-9	3.959984814601107e-5
28.0	2.2217080524510103e-8	1.6445524402263007e-9	3.849942688869058e-6	1.1300935923107685e-8	1.0073319701360393e-9	3.959984842235153e-5
29.0	2.222667795947502e-8	1.645285679188816e-9	3.849943680484937e-6	1.1303825322842806e-8	1.0079514444536457e-9	3.959984889049674e-5
30.0	2.2233254585922342e-8	1.6480369286906051e-9	3.849943614212305e-6	1.1307478763547016e-8	1.0082283920050283e-9	3.9599849057606264e-5
31.0	2.223917828489121e-8	1.6484515119260211e-9	3.849942929162142e-6	1.131811749798178e-8	1.0089321218645727e-9	3.95998491359526e-5
