turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042908293953415e-8	1.6115840823421875e-9	3.8499871731240865e-6	1.1281249147272375e-8	1.0034676489862682e-9	3.959997587408601e-5
1.0	2.0893857542610142e-8	1.6245198825807698e-9	3.849987604307186e-6	1.1285486305005416e-8	1.0050211690957803e-9	3.959997591010301e-5
2.0	2.0999148290517083e-8	1.6229231186165576e-9	3.849988230229331e-6	1.1296301945993673e-8	1.0047934986283791e-9	3.959997611534939e-5
3.0	2.0846920710625354e-8	1.631325973849369e-9	3.849988446464495e-6	1.1313729928895337e-8	1.0067312069911238e-9	3.9599975788321196e-5
4.0	2.0722493971212094e-8	1.6443551925071896e-9	3.8499879860647496e-6	1.1324470401021851e-8	1.0073625552769457e-9	3.959997617357514e-5
5.0	2.1307941760734397e-8	1.6341518345938516e-9	3.849987515875944e-6	1.1333433161859205e-8	1.007656278634092e-9	3.95999757535737e-5
6.0	2.1882248963911166e-8	1.6422421072926031e-9	3.849986778935068e-6	1.134346474656349e-8	1.008844748943658e-9	3.959997594169916e-5
7.0	2.1518155793001014e-8	1.6362422137698598e-9	3.8499876171037775e-6	1.134885617363032e-8	1.0084808736169709e-9	3.959997559883022e-5
8.0	2.131967851014724e-8	1.6376973906735717e-9	3.8499880091691106e-6	1.134684140736904e-8	1.0095962175177964e-9	3.959997547062896e-5
9.0	2.1670508283169928e-8	1.649648363028373e-9	3.849987879150403e-6	1.1340193343402368e-8	1.0092389365752441e-9	3.95999756164633e-5
10.0	2.242274344997361e-8	1.6432232083200033e-9	3.84998811168598e-6	1.132790517328389e-8	1.01058700894273e-9	3.95999752763869e-5
11.0	2.2303828111338064e-8	1.6495332833585443e-9	3.849987725145675e-6	1.1306569926762304e-8	1.0107475252492898e-9	3.95999756115576e-5
12.0	2.1817353747622037e-8	1.6511618444607564e-9	3.849987160642085e-6	1.129847754692645e-8	1.0114565751214308e-9	3.9599975075377074e-5
13.0	2.188905202320178e-8	1.6493915468512534e-9	3.849987700865481e-6	1.1288899935561001e-8	1.0117325111973663e-9	3.95999752404728e-5
14.0	2.2314864085570843e-8	1.6536149498457136e-9	3.849988387088485e-6	1.1285829464246128e-8	1.0116932543469328e-9	3.959997502371828e-5
15.0	2.2435956204280407e-8	1.649355630671159e-9	3.849987300727297e-6	1.1285563510339166e-8	1.0117375475509648e-9	3.959997491769571e-5
16.0	2.2176205969535887e-8	1.6479662509852092e-9	3.849986981587615e-6	1.1293380937900287e-8	1.0107250035815704e-9	3.9599974766620954e-5
17.0	2.2061012256265224e-8	1.6478538109771169e-9	3.849987859151937e-6	1.1301689949825851e-8	1.0109336115188925e-9	3.959997432306884e-5
18.0	2.2140339991087262e-8	1.648526341419426e-9	3.849987553404879e-6	1.1313818892406469e-8	1.0094620934367468e-9	3.959997432166518e-5
19.0	2.219300932393189e-8	1.650671300132406e-9	3.849988119233468e-6	1.132427327584509e-8	1.0095679941404542e-9	3.9599974028945524e-5
20.0	2.2198053855177813e-8	1.6527514147816176e-9	3.849988006457904e-6	1.1335443990391883e-8	1.0085871086595394e-9	3.95999741216517e-5
21.0	2.2225501138400055e-8	1.6522682698694852e-9	3.849986812200984e-6	1.1336178053308975e-8	1.00858104230842e-9	3.959997412433618e-5
22.0	2.217836303155118e-8	1.652754369754413e-9	3.84998684505017e-6	1.1341513326425843e-8	1.0081257934472413e-9	3.9599974036956355e-5
23.0	2.213787450321045e-8	1.6519949345258373e-9	3.849987592105913e-6	1.1333440470562658e-8	1.007837487964297e-9	3.9599974414583816e-5
