turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.0428842304874772e-8	1.6115669894774362e-9	3.849936673285857e-6	1.1281162183209662e-8	1.0034722142894757e-9	3.959845975238462e-5
1.0	2.1009632379616645e-8	1.6257524699483386e-9	3.849936169924866e-6	1.1284988620194408e-8	1.0061512065335804e-9	3.959845994023693e-5
2.0	2.1100579147832243e-8	1.623667569389816e-9	3.849937768659434e-6	1.1297667047924937e-8	1.00576562840104e-9	3.959845978446035e-5
3.0	2.094898427733628e-8	1.633159516281637e-9	3.849937146829049e-6	1.131942711262176e-8	1.0085901948495336e-9	3.9598459322337024e-5
4.0	2.0791512441022353e-8	1.644075715028214e-9	3.84993711904494e-6	1.1330958944326745e-8	1.0088639078224766e-9	3.959845978844469e-5
5.0	2.143781472841348e-8	1.636540566627222e-9	3.849936951085947e-6	1.1342089560473835e-8	1.0090838350600157e-9	3.959845926635202e-5
6.0	2.2002518934959037e-8	1.643547713511676e-9	3.849937301249744e-6	1.135476650280982e-8	1.0106389348021763e-9	3.959845957817592e-5
7.0	2.1593468641802076e-8	1.638010757967889e-9	3.849937158834491e-6	1.136089707290221e-8	1.0096955952660122e-9	3.95984592910025e-5
8.0	2.1412223207828786e-8	1.6392134965791282e-9	3.849937075318578e-6	1.135613033585184e-8	1.0115704066089882e-9	3.959845970086869e-5
9.0	2.181821693179006e-8	1.6486387735978307e-9	3.849937329863042e-6	1.1350129516236279e-8	1.0108243296426818e-9	3.9598460060232995e-5
10.0	2.2522232707591438e-8	1.643818104975398e-9	3.849937041775921e-6	1.1333431630371336e-8	1.0124948162579777e-9	3.95984594920826e-5
11.0	2.234420210415723e-8	1.6489208704663945e-9	3.849937170486578e-6	1.131435414944707e-8	1.0124193907932363e-9	3.959846011152516e-5
12.0	2.1865498205184468e-8	1.6516831296388396e-9	3.849937151354099e-6	1.1304021729124378e-8	1.0129265832730108e-9	3.959845927243327e-5
13.0	2.198952193383398e-8	1.6481230905629686e-9	3.849937853735513e-6	1.1295708484063102e-8	1.0132885448590864e-9	3.959845991035079e-5
14.0	2.241442361922657e-8	1.6530574572976786e-9	3.849937296336268e-6	1.12900664458528e-8	1.0128566845604842e-9	3.959845947647593e-5
15.0	2.2448910788681783e-8	1.6516151243856038e-9	3.849936733473345e-6	1.1290873617749772e-8	1.0132329293370431e-9	3.959845945549737e-5
16.0	2.220672076139593e-8	1.647222079485581e-9	3.849936811823014e-6	1.1300607616707234e-8	1.011888080231733e-9	3.9598459625557235e-5
17.0	2.214372374932891e-8	1.6477421662423144e-9	3.849937024154717e-6	1.1310038141344706e-8	1.0119412953798862e-9	3.95984588433048e-5
18.0	2.2217684184777798e-8	1.648585237631202e-9	3.849937094288121e-6	1.1322693263080527e-8	1.0103133116326048e-9	3.959845972229309e-5
19.0	2.2225777199441235e-8	1.6494553457394094e-9	3.849937414332116e-6	1.1332687256183693e-8	1.009908487800136e-9	3.9598458647054156e-5
20.0	2.2253425375438583e-8	1.6499688950092046e-9	3.849937692834467e-6	1.1342249712476063e-8	1.0089877147745098e-9	3.959845979946138e-5
21.0	2.230573191353076e-8	1.6506076926921395e-9	3.8499366710554145e-6	1.1342746045877334e-8	1.0087401580020435e-9	3.9598458938025355e-5
22.0	2.225556461556191e-8	1.6510345370185017e-9	3.849936723846553e-6	1.1347606140235428e-8	1.008240513960656e-9	3.959845985710006e-5
23.0	2.2178805072360652e-8	1.650352959182075e-9	3.849936651751167e-6	1.1339682474288607e-8	1.0079802516519857e-9	3.959845942336286e-5
24.0	2.217103169411645e-8	1.6519071278258149e-9	3.849937472615606e-6	1.1333673011657465e-8	1.007942909949813e-9	3.959845959547104e-5
25.0	2.2324676593792128e-8	1.6511660309962502e-9	3.849936943090041e-6	1.1325165568794817e-8	1.00780663695728e-9	3.9598459794525997e-5
26.0	2.2327600702610972e-8	1.6498377169734123e-9	3.849937203036224e-6	1.1317804057336513e-8	1.0082068564118717e-9	3.959845948929876e-5
27.0	2.2262364516830005e-8	1.6518670634489853e-9	3.849937153043675e-6	1.1313197421055292e-8	1.0080498520930935e-9	3.959846009016112e-5
28.0	2.2224661679107226e-8	1.6509658358243966e-9	3.849936919725098e-6	1.1311600144896237e-8	1.008739569901181e-9	3.959845969387112e-5
29.0	2.2265282378203564e-8	1.6515629547080088e-9	3.849936456404925e-6	1.1314345524786494e-8	1.0084716931150691e-9	3.959846033764885e-5
30.0	2.2289047707604446e-8	1.6534301542663707e-9	3.849937163369989e-6	1.1316561682015496e-8	1.0093406791302718e-9	3.959846009272731e-5
31.0	2.227035701878793e-8	1.6524743216173935e-9	3.849937357234631e-6	1.1323043831930342e-8	1.0092379969506592e-9	3.9598460418384404e-5
32.0	2.2294570628612913e-8	1.651848329020529e-9	3.849936987075303e-6	1.1325885389627755e-8	1.010112456624631e-9	3.959846055304886e-5
