turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.0428842304874772e-8	1.6115669894774362e-9	3.849936673285857e-6	1.1281162183209662e-8	1.0034722142894757e-9	3.959845975238462e-5
1.0	2.1014603794255425e-8	1.625864405434565e-9	3.849936174869374e-6	1.1285022674464899e-8	1.0061590938322927e-9	3.959845994749935e-5
2.0	2.110586883945639e-8	1.6237798323720527e-9	3.849937772491467e-6	1.1297944896773208e-8	1.0057791292006322e-9	3.95984597574317e-5
3.0	2.095284667004287e-8	1.6334038493041032e-9	3.84993714143375e-6	1.132004237118394e-8	1.0086387018264307e-9	3.959845927999065e-5
4.0	2.0795441571460886e-8	1.6443635635893766e-9	3.849937112454529e-6	1.1331676756260608e-8	1.0089209001920967e-9	3.959845974047052e-5
5.0	2.1448461231101365e-8	1.6368379266378743e-9	3.849936941673548e-6	1.1343021193043607e-8	1.0091629966809917e-9	3.959845916534282e-5
6.0	2.201320896357089e-8	1.6438292064330912e-9	3.849937299088051e-6	1.1355968643909044e-8	1.010734304430758e-9	3.95984594717744e-5
7.0	2.1600624454505057e-8	1.6382607006123394e-9	3.849937153471901e-6	1.1362236386729851e-8	1.0097852938722785e-9	3.9598459123542186e-5
8.0	2.1420164251628205e-8	1.639509485231767e-9	3.849937071308384e-6	1.1357435506016694e-8	1.0116762982267696e-9	3.959845950633002e-5
9.0	2.183079488639806e-8	1.6488988818105217e-9	3.84993732094527e-6	1.1351429017668703e-8	1.0109148419793537e-9	3.959845983601562e-5
10.0	2.253408824106512e-8	1.6440992474863647e-9	3.84993703225256e-6	1.1334493258679055e-8	1.0126046345182162e-9	3.9598459258318864e-5
11.0	2.2351398439472742e-8	1.649273974180286e-9	3.849937158503851e-6	1.1315173582039426e-8	1.0125238075025551e-9	3.959845987057133e-5
12.0	2.1872591156364326e-8	1.6519802552851454e-9	3.849937156508981e-6	1.1304767460551675e-8	1.0130361597108327e-9	3.9598459030823744e-5
13.0	2.200083227719868e-8	1.6484683841737902e-9	3.849937858327594e-6	1.1296254686603045e-8	1.013408299900457e-9	3.959845961711083e-5
14.0	2.2424263183245146e-8	1.6534270846814195e-9	3.849937287798865e-6	1.1290364397487513e-8	1.012970300738175e-9	3.9598459142344224e-5
15.0	2.2454097159926853e-8	1.6519703211731435e-9	3.849936725618399e-6	1.1291120919267608e-8	1.0133523194600442e-9	3.9598459102619775e-5
16.0	2.2213840301968114e-8	1.6476163233242152e-9	3.849936802776473e-6	1.1300924252998715e-8	1.0119877144631397e-9	3.959845927842218e-5
17.0	2.2155012669658116e-8	1.6481445492767969e-9	3.849937022833383e-6	1.1310446987045617e-8	1.0120459081721147e-9	3.959845849004172e-5
18.0	2.222596862815862e-8	1.64897873957704e-9	3.8499370920262195e-6	1.1323222888135307e-8	1.0103904810066684e-9	3.9598459360130835e-5
19.0	2.2231659937919153e-8	1.6498896111821065e-9	3.849937403914912e-6	1.133333161264979e-8	1.0099809411705593e-9	3.959845833780785e-5
20.0	2.2263061195583886e-8	1.6503710126718185e-9	3.849937669308688e-6	1.1343023960919603e-8	1.0090472017224863e-9	3.9598459463568174e-5
21.0	2.2317168182036514e-8	1.6510709526890478e-9	3.849936643610592e-6	1.1343604509669639e-8	1.0087949541537014e-9	3.95984586248662e-5
