turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042901366646767e-8	1.6114310255281827e-9	3.84994285619843e-6	1.1281215296509378e-8	1.0034690056970962e-9	3.959984817418013e-5
1.0	2.0912177137798985e-8	1.6234288916866906e-9	3.849942963084218e-6	1.1285897565295028e-8	1.0056864530860634e-9	3.959984769438745e-5
2.0	2.1036826019065946e-8	1.6228369141401761e-9	3.849943363351324e-6	1.1295870937347062e-8	1.005296778493509e-9	3.959984825285434e-5
3.0	2.0864703718868607e-8	1.6287979515745302e-9	3.8499431561956015e-6	1.1321184033139241e-8	1.0074384509660838e-9	3.9599847303401356e-5
4.0	2.0721352197304983e-8	1.6393986816003617e-9	3.849942699670875e-6	1.1331445503010992e-8	1.0080368845780105e-9	3.959984788924954e-5
5.0	2.1300056494801714e-8	1.6314408775959423e-9	3.849942904358301e-6	1.1342536602251037e-8	1.0080192851802907e-9	3.959984706144237e-5
6.0	2.1890205696001446e-8	1.638597754184234e-9	3.849942202443604e-6	1.1352739310915934e-8	1.009705145660346e-9	3.9599847692292464e-5
7.0	2.154627937044578e-8	1.6317782163907958e-9	3.8499439938610285e-6	1.1355927633009985e-8	1.0090725377196904e-9	3.9599847045248644e-5
8.0	2.132929851710401e-8	1.6328362424609464e-9	3.84994357817806e-6	1.1352280769184031e-8	1.0109833967795053e-9	3.95998471098579e-5
9.0	2.1677802439415904e-8	1.641723230303957e-9	3.84994336683738e-6	1.1343900438532957e-8	1.0106682460310485e-9	3.959984706116723e-5
10.0	2.2435317722987494e-8	1.6369209273855701e-9	3.849942678075133e-6	1.1328726091615623e-8	1.0124624360430535e-9	3.959984695856613e-5
11.0	2.2310788986165804e-8	1.6420016743912687e-9	3.849942709020834e-6	1.1305131629568866e-8	1.0125794084931124e-9	3.9599847354283634e-5
12.0	2.183843049733141e-8	1.644840002504212e-9	3.849942272898393e-6	1.1293831329794681e-8	1.012979467492107e-9	3.959984663895924e-5
13.0	2.1901628175922007e-8	1.642858062910166e-9	3.84994306598683e-6	1.1285383092438703e-8	1.0134576557516447e-9	3.9599847242208904e-5
14.0	2.2386183351708427e-8	1.6473298705063687e-9	3.849943411451075e-6	1.1282885007201766e-8	1.013011061778159e-9	3.9599846734801494e-5
15.0	2.2426937311281984e-8	1.64567349274084e-9	3.849943777698894e-6	1.1282042924936506e-8	1.013611751108932e-9	3.959984725634242e-5
16.0	2.2183297431437538e-8	1.6424262067698857e-9	3.8499430600700735e-6	1.129526431568749e-8	1.012449986338143e-9	3.9599846949902265e-5
17.0	2.208420043508637e-8	1.6417224377066166e-9	3.849942529913986e-6	1.130309593736331e-8	1.0122987949638014e-9	3.959984694636238e-5
18.0	2.2206136998262703e-8	1.642693371388323e-9	3.849942478538004e-6	1.1323253798023515e-8	1.010902751914039e-9	3.95998470271922e-5
19.0	2.224748484400831e-8	1.641308971283387e-9	3.849942462520205e-6	1.1333347400807065e-8	1.0100446888430599e-9	3.959984692376995e-5
20.0	2.2196180684553476e-8	1.6428984665258784e-9	3.849943237948335e-6	1.1345941850054483e-8	1.0092716956625826e-9	3.959984723488085e-5
21.0	2.2233858347817566e-8	1.6457739651160422e-9	3.849942771445775e-6	1.1345901818840866e-8	1.0084281432861028e-9	3.959984710423028e-5
22.0	2.2239470285728326e-8	1.6437969262410473e-9	3.84994356857062e-6	1.1349091410792499e-8	1.0083199916376932e-9	3.959984742941365e-5
23.0	2.2194614336317298e-8	1.6474295945560614e-9	3.8499433937880426e-6	1.1338531616325696e-8	1.0074985778192245e-9	3.9599847477010374e-5
24.0	2.2155164454190566e-8	1.6454119249780408e-9	3.8499429976808775e-6	1.1331913146341066e-8	1.0075645470408207e-9	3.959984751761348e-5
25.0	2.222285161591311e-8	1.6441555714666555e-9	3.849942023986412e-6	1.131821375550433e-8	1.006996885409921e-9	3.9599847667374666e-5
26.0	2.2264343752045038e-8	1.6426194241910813e-9	3.84994276544455e-6	1.1310737878311806e-8	1.007091090165244e-9	3.959984775355956e-5
27.0	2.2255291156995995e-8	1.6432948507813851e-9	3.849942779658468e-6	1.1301792455666133e-8	1.0070792867421617e-9	3.9599848161942716e-5
28.0	2.2206403808669406e-8	1.6440335956296926e-9	3.849942706155507e-6	1.1300343769472573e-8	1.0072465125448186e-9	3.959984842696779e-5
29.0	2.2215612052754804e-8	1.6447538968706927e-9	3.849943686302845e-6	1.1303314094216073e-8	1.007887279745975e-9	3.9599848864600185e-5
30.0	2.222391213481226e-8	1.6475424739507756e-9	3.849943654222885e-6	1.1306955863420064e-8	1.0081559735421768e-9	3.959984900700666e-5
31.0	2.222979381201236e-8	1.6479074167767274e-9	3.849942955066262e-6	1.1317576062192421e-8	1.0088661865898952e-9	3.9599849099134216e-5
32.0	2.2262995877793896e-8	1.646977736687639e-9	3.849942651810955e-6	1.1323480767256587e-8	1.0093112151028486e-9	3.959984905015861e-5
33.0	2.224656490856224e-8	1.6459819191952802e-9	3.849942232673414e-6	1.1333449969537068e-8	1.0100534528156882e-9	3.95998489676835e-5
34.0	2.2201594934288603e-8	1.6442578522111797e-9	3.849941972914024e-6	1.1334415340375264e-8	1.010572964713148e-9	3.9599848847517136e-5
35.0	2.2218137092792577e-8	1.643437071956544e-9	3.849942722069461e-6	1.1339455588414718e-8	1.0108513014237733e-9	3.95998486786743e-5
36.0	2.2246321092995134e-8	1.6443351140679982e-9	3.849943235643238e-6	1.1332703224599265e-8	1.0111848473705474e-9	3.959984851657551e-5
37.0	2.225523772080142e-8	1.6456675791128884e-9	3.849943444238725e-6	1.13342339167713e-8	1.0110728408798498e-9	3.959984845014321e-5
38.0	2.2212153744841962e-8	1.6456601030974232e-9	3.849943199179406e-6	1.1323647726361157e-8	1.0113964335485116e-9	3.959984830354806e-5
39.0	2.2214032674480335e-8	1.6483562939119918e-9	3.849943023310024e-6	1.1323302471223151e-8	1.011173661686862e-9	3.959984849172578e-5
40.0	2.2289257909643437e-8	1.6477141446293652e-9	3.849941800550838e-6	1.1313252372135023e-8	1.0113915429123174e-9	3.95998482999753e-5
41.0	2.2236398365169406e-8	1.6463816528635011e-9	3.849941868169147e-6	1.1314229311744643e-8	1.011127693168163e-9	3.9599848512846274e-5
42.0	2.2213481818583522e-8	1.6493430490434282e-9	3.849942271028927e-6	1.1309930629086725e-8	1.0107884506508279e-9	3.9599848180943827e-5
43.0	2.221700824286336e-8	1.6461657683746526e-9	3.849942989506257e-6	1.131354644183214e-8	1.010769748812096e-9	3.95998482269181e-5
44.0	2.2302518860421527e-8	1.6476120443673708e-9	3.849943327428533e-6	1.1315511760474657e-8	1.0102583914436058e-9	3.959984802746548e-5
45.0	2.2303275247262364e-8	1.649830838158844e-9	3.849943805200054e-6	1.1320365066730363e-8	1.0102977438362126e-9	3.959984782947888e-5
46.0	2.2195922958474624e-8	1.6487397133365161e-9	3.849942802858177e-6	1.1324115945744585e-8	1.009863818373824e-9	3.959984796760781e-5
47.0	2.2183398254392272e-8	1.6496714498881983e-9	3.849942465172504e-6	1.1326151713103631e-8	1.009619421713294e-9	3.959984749759532e-5
48.0	2.2275084633493635e-8	1.6488150295988804e-9	3.8499424455630845e-6	1.1328937602623749e-8	1.009338036055094e-9	3.95998476860038e-5
49.0	2.2308118635715027e-8	1.649260659356335e-9	3.849941939287717e-6	1.1327921166555933e-8	1.0088296000098182e-9	3.9599847045378904e-5
50.0	2.2246363244326282e-8	1.6482949049419418e-9	3.8499421996465365e-6	1.1330364197918322e-8	1.0089988824980781e-9	3.959984722890959e-5
51.0	2.218703049773652e-8	1.6481239832646027e-9	3.849943369206854e-6	1.1326962259268587e-8	1.0086496095128578e-9	3.9599846871039256e-5
