# Median |K_num - K_exact| / max|K_exact|, 81x81 field grid +-4 sigma
family_case	soft_gaussian	pic	hybrid	spectral
# family=round (gate) sigx=0.002 sigy=0.002 picgrid=128 hybgrid=64 spectral=(127, 127) domain_factor=16.0 seed=20260727
1e+04	0.0024843349523042727	0.003958713206843338	0.0038383205533986373	0.003908851391042094
1e+05	0.0006009958881833927	0.0009724645664758668	0.0009173527753572678	0.0013830974422926303
1e+06	0.00029897073463386846	0.00040618846892939454	0.0003488932190933032	0.0011356285133428828
deterministic	6.269225750620516e-5	0.00040718749441048666	0.0001565443659572976	0.0012336911119515358
# family=flat 11:1 sigx=0.002 sigy=0.00018181818181818183 picgrid=128 hybgrid=64 spectral=(127, 383) domain_factor=8.0 seed=20260727
1e+04	0.002073053310690701	0.005480050031053256	0.005220290653154056	0.005510071533050649
1e+05	0.0008080575021055148	0.0018866348459768323	0.0017417892884531779	0.0035005344748111514
1e+06	0.0002605015545953247	0.0007678999608896067	0.00045882868147379465	0.003007398297158905
deterministic	0.00047785229597137373	0.0009656169664357046	0.00023757252261572882	0.003776367528549289
