# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor_bootstrap	bias_floor_rayleigh	bias_floor_bootstrap_uncentered
round	64	CIC	100000	100	0.0004535198124459578	0.0013316511463818317	0.001173548591329514	0.0001048003374102369	0.00011086723023736283	0.00011813221332572538
round	64	TSC	100000	100	0.000503816137594483	0.0013151202661213285	0.00117798220185063	0.0001028383597726627	0.00010949094417862505	0.00012079525004539307
round	128	CIC	100000	100	0.00013318689476439328	0.0014003322431563388	0.001152245493506685	0.00011006219719870801	0.00011658530661926123	0.00011016269750318056
round	128	TSC	100000	100	0.0001378749745467079	0.0013881225487589095	0.001146040938052942	0.00010916197367768078	0.00011556878288212062	0.00010961628076082902
round	256	CIC	100000	100	9.521324760251496e-5	0.0014606855608579803	0.0012064191843119377	0.00011446871505861624	0.00012161004991437794	0.0001154476316118628
round	256	TSC	100000	100	9.586218177688666e-5	0.0014496892279475565	0.0011942236516841091	0.00011337668285921914	0.0001206945451473381	0.0001145935676015451
flat11	64	CIC	100000	100	0.0015972057506957852	0.0026060305937167286	0.002610401943853115	0.0001819340609284226	0.0002169662787616895	0.00022644082067594762
flat11	64	TSC	100000	100	0.0021036299792570384	0.002522404933600819	0.002803874412775082	0.00017547780351323444	0.0002100039858676288	0.00024863341384362593
flat11	128	CIC	100000	100	0.0004922469159361967	0.002854419906173906	0.0024071567821084836	0.00019628664441146958	0.0002376460455065408	0.0002010509377020476
flat11	128	TSC	100000	100	0.0006039276915461482	0.002815258526262004	0.0023797832234277528	0.0001930627290465687	0.0002343856467640456	0.0002020235411721522
flat11	256	CIC	100000	100	0.000216088815467843	0.003012595969185113	0.0025131323655210374	0.0002117519989915659	0.00025081506657001593	0.00021242357251411147
flat11	256	TSC	100000	100	0.00022984155910374258	0.0029817481929787066	0.0024762855681316216	0.00020900722226360201	0.0002482468207375555	0.0002095096607468805
