# Kick-error systematic/fluctuation split, 81x81 field grid +-4 sigma,
# median over field points, normalized by peak exact kick.
# R independent source realizations per row.
family	grid	deposit	n_macro	R	bias	fluctuation	total_median	bias_floor_bootstrap	bias_floor_rayleigh	bias_floor_bootstrap_uncentered
round	64	CIC	100000	100	0.00046693482231056926	0.001314620432932218	0.0012046286218971559	0.00010100233520491551	0.0001094493303359847	0.0001119232444507187
round	64	TSC	100000	100	0.0005125386364190336	0.0012965997532654093	0.0012025498119238745	9.961560809823567e-5	0.00010794901034070497	0.00011148077638345989
round	128	CIC	100000	100	0.00014118477106790758	0.0013751926001766205	0.001168455751246939	0.00010500276831374407	0.00011449229405069895	0.00010591231530680685
round	128	TSC	100000	100	0.0001481900421718554	0.0013620682013344855	0.0011574900634827132	0.00010439001209150517	0.00011339961617322972	0.00010539994683897844
round	256	CIC	100000	100	0.00010578556140197052	0.0014367711001968548	0.0012193144766430518	0.00010956129643643268	0.000119619040464701	0.00011087287654781158
round	256	TSC	100000	100	0.00010610018408513169	0.0014288675351885583	0.0012066113257336668	0.00010900738544046359	0.00011896102551547682	0.00011009232262942612
flat11	64	CIC	100000	100	0.0013099517216867182	0.002441555773645782	0.0024495068228193267	0.0001654512512094907	0.0002032728517747496	0.00019721327690906947
flat11	64	TSC	100000	100	0.001827484215452033	0.0023641652551314994	0.002650206741965766	0.00016134334378792645	0.00019682966846985446	0.00020204139941587036
flat11	128	CIC	100000	100	0.0003118586336816396	0.0027201960738872195	0.0022551105424686514	0.00018545141885522795	0.000226471178456787	0.00018719841077877598
flat11	128	TSC	100000	100	0.000381011242809826	0.0026619809027576317	0.0022441683287931116	0.00018091318851301623	0.0002216244475404597	0.0001843271378893679
flat11	256	CIC	100000	100	0.00018063895553592485	0.0029200630645134728	0.0024436580808843166	0.0002001221448553731	0.00024311119692319694	0.00019943764675406709
flat11	256	TSC	100000	100	0.00018533479563627385	0.0028854464088135415	0.002395248956761757	0.00019839803038043826	0.00024022917129061332	0.00019602724149116532
