turn	x1	x2	y1	y2
1	1.087257e-5	4.723237e-7	1.022345e-5	-7.679844e-7
2	9.718191e-6	-1.293859e-7	1.090735e-5	2.685586e-7
3	9.420246e-6	-1.583959e-6	1.05091e-5	7.522485e-7
4	1.079587e-5	1.183008e-7	1.014263e-5	-6.970069e-7
5	1.005511e-5	2.949314e-7	1.085863e-5	6.758219e-8
6	9.243775e-6	-1.555802e-6	1.06284e-5	8.545279e-7
7	1.05908e-5	-3.313372e-7	1.008876e-5	-5.831568e-7
8	1.039506e-5	6.046328e-7	1.078702e-5	-1.328038e-7
9	9.205158e-6	-1.322931e-6	1.073524e-5	9.134328e-7
10	1.027838e-5	-8.044143e-7	1.006613e-5	-4.372522e-7
11	1.067264e-5	7.343993e-7	1.07019e-5	-3.162461e-7
12	9.304871e-6	-9.28729e-7	1.082368e-5	9.343283e-7
13	9.922187e-6	-1.206639e-6	1.008003e-5	-2.73848e-7
14	1.084151e-5	6.521201e-7	1.060418e-5	-4.790419e-7
15	9.52819e-6	-4.702073e-7	1.089361e-5	9.155268e-7
16	9.581201e-6	-1.482458e-6	1.0118e-5	-9.789274e-8
17	1.087199e-5	3.889549e-7	1.049625e-5	-6.121984e-7
18	9.85667e-6	-3.061459e-9	1.095448e-5	8.563527e-7
19	9.322995e-6	-1.58016e-6	1.017605e-5	8.183134e-8
20	1.07442e-5	-3.822544e-9	1.038079e-5	-7.022983e-7
21	1.021237e-5	3.903383e-7	1.099435e-5	7.557615e-7
22	9.177858e-6	-1.479713e-6	1.026232e-5	2.58165e-7
23	1.048286e-5	-4.619239e-7	1.02656e-5	-7.549763e-7
24	1.055602e-5	6.473681e-7	1.100593e-5	6.208781e-7
25	9.187735e-6	-1.193435e-6	1.036651e-5	4.261856e-7
26	1.013567e-5	-9.197817e-7	1.016143e-5	-7.624784e-7
27	1.081437e-5	7.219977e-7	1.098662e-5	4.624941e-7
28	9.348518e-6	-7.714299e-7	1.048377e-5	5.786003e-7
29	9.756254e-6	-1.304231e-6	1.007693e-5	-7.34291e-7
30	1.092562e-5	5.944799e-7	1.095073e-5	2.854932e-7
31	9.632645e-6	-2.816084e-7	1.059901e-5	7.055839e-7
32	9.431567e-6	-1.543826e-6	1.001676e-5	-6.65602e-7
33	1.088024e-5	2.696374e-7	1.089053e-5	9.576597e-8
