turn	x1	x2	y1	y2
1	1.087257e-05	4.723237e-07	1.022345e-05	-7.679844e-07
2	1.002884e-05	3.138062e-07	1.087065e-05	3.062480e-07
3	1.050000e-05	-4.739326e-07	1.049998e-05	7.560742e-07
4	1.097059e-05	3.197954e-07	1.015216e-05	-7.087052e-07
5	1.015494e-05	4.944300e-07	1.082807e-05	1.172697e-07
6	1.029998e-05	-4.508319e-07	1.060293e-05	8.666702e-07
7	1.099868e-05	1.195275e-07	1.010270e-05	-6.149195e-07
8	1.032913e-05	6.300932e-07	1.076382e-05	-7.481744e-08
9	1.013716e-05	-3.424321e-07	1.070423e-05	9.413266e-07
10	1.096028e-05	-9.890802e-08	1.007737e-05	-4.881086e-07
11	1.053028e-05	6.908684e-07	1.068326e-05	-2.573445e-07
12	1.002093e-05	-1.637750e-07	1.079869e-05	9.723714e-07
13	1.085294e-05	-3.035705e-07	1.007922e-05	-3.306273e-07
14	1.072971e-05	6.702421e-07	1.058608e-05	-4.230227e-07
15	9.973276e-06	6.079387e-08	1.087778e-05	9.630383e-07
16	1.068519e-05	-4.604933e-07	1.011513e-05	-1.597057e-07
17	1.089808e-05	5.661459e-07	1.047346e-05	-5.614413e-07
18	1.000725e-05	2.996914e-07	1.093506e-05	9.138245e-07
19	1.048376e-05	-5.365754e-07	1.018284e-05	2.065623e-08
20	1.101728e-05	3.811256e-07	1.036065e-05	-6.673218e-07
21	1.011843e-05	5.147906e-07	1.096594e-05	8.203533e-07
22	1.027246e-05	-5.182952e-07	1.026552e-05	2.092840e-07
23	1.107555e-05	1.388152e-07	1.025664e-05	-7.369961e-07
24	1.029441e-05	6.808696e-07	1.097120e-05	6.903307e-07
25	1.008379e-05	-3.995146e-07	1.036317e-05	3.915656e-07
26	1.104737e-05	-1.248979e-07	1.016708e-05	-7.648846e-07
27	1.051135e-05	7.652714e-07	1.094992e-05	5.368443e-07
28	9.943025e-06	-1.901936e-07	1.047083e-05	5.503857e-07
29	1.093712e-05	-3.695841e-07	1.009532e-05	-7.471923e-07
30	1.073414e-05	7.474177e-07	1.090414e-05	3.655979e-07
31	9.881406e-06	8.043410e-08	1.058031e-05	6.821964e-07
32	1.075639e-05	-5.555563e-07	1.004860e-05	-6.916780e-07
33	1.093051e-05	6.186523e-07	1.084267e-05	1.832898e-07
34	9.909764e-06	3.700232e-07	1.068640e-05	7.830885e-07
35	1.053520e-05	-6.498801e-07	1.001550e-05	-5.988820e-07
36	1.107546e-05	3.912533e-07	1.076657e-05	2.704638e-09
37	1.003117e-05	6.313943e-07	1.078906e-05	8.471888e-07
38	1.029929e-05	-6.236111e-07	1.001344e-05	-4.773625e-07
39	1.114580e-05	9.420321e-08	1.066653e-05	-1.737390e-07
40	1.022273e-05	8.300560e-07	1.087864e-05	8.808673e-07
41	1.008905e-05	-4.704332e-07	1.003881e-05	-3.333865e-07
42	1.111518e-05	-2.276445e-07	1.055433e-05	-3.378347e-07
43	1.045543e-05	9.253058e-07	1.094604e-05	8.815971e-07
44	9.939047e-06	-2.042772e-07	1.009485e-05	-1.711809e-07
45	1.099075e-05	-5.292525e-07	1.043953e-05	-4.806578e-07
46	1.068989e-05	8.885857e-07	1.097954e-05	8.447883e-07
47	9.875692e-06	1.369469e-07	1.017842e-05	6.663165e-09
48	1.079989e-05	-7.537206e-07	1.033302e-05	-5.983659e-07
49	1.089060e-05	7.089277e-07	1.097939e-05	7.698735e-07
50	9.912151e-06	4.980568e-07	1.028323e-05	1.960205e-07
51	1.056918e-05	-8.456729e-07	1.023898e-05	-6.835747e-07
52	1.102598e-05	4.073502e-07	1.095417e-05	6.582870e-07
53	1.004241e-05	8.156342e-07	1.039819e-05	3.815325e-07
54	1.034476e-05	-7.705841e-07	1.016407e-05	-7.266830e-07
55	1.107197e-05	2.932752e-08	1.090732e-05	5.060580e-07
56	1.023455e-05	1.028507e-06	1.051618e-05	5.576128e-07
57	1.016126e-05	-5.424452e-07	1.011579e-05	-7.220138e-07
58	1.102410e-05	-3.560807e-07	1.083492e-05	3.185035e-07
59	1.045272e-05	1.092437e-06	1.062322e-05	7.165649e-07
60	1.004528e-05	-1.956413e-07	1.009913e-05	-6.744221e-07
61	1.089917e-05	-6.888074e-07	1.074442e-05	1.050278e-07
62	1.065832e-05	9.914531e-07	1.071830e-05	8.478185e-07
63	1.001818e-05	2.091697e-07	1.010989e-05	-5.728012e-07
64	1.072067e-05	-8.990189e-07	1.064440e-05	-1.207672e-07
65	1.081250e-05	7.378918e-07	1.078738e-05	9.392887e-07
66	1.007897e-05	6.027811e-07	1.015190e-05	-4.249730e-07
67	1.052442e-05	-9.442162e-07	1.054381e-05	-3.399034e-07
68	1.088571e-05	3.769559e-07	1.082908e-05	9.808180e-07
69	1.021189e-05	9.206698e-07	1.021599e-05	-2.372027e-07
70	1.035384e-05	-8.182639e-07	1.044839e-05	-5.408808e-07
71	1.088029e-05	-3.261756e-08	1.084811e-05	9.660858e-07
72	1.037634e-05	1.107671e-06	1.029634e-05	-1.906077e-08
73	1.023805e-05	-5.392136e-07	1.036479e-05	-7.102320e-07
74	1.080798e-05	-4.210438e-07	1.083933e-05	8.953720e-07
75	1.053977e-05	1.126174e-06	1.038485e-05	2.129705e-07
76	1.019588e-05	-1.626768e-07	1.030186e-05	-8.375685e-07
77	1.068809e-05	-7.260229e-07	1.080513e-05	7.669511e-07
78	1.066393e-05	9.842363e-07	1.047050e-05	4.504932e-07
79	1.022835e-05	2.427046e-07	1.026037e-05	-9.106264e-07
80	1.055247e-05	-8.998357e-07	1.075561e-05	5.884674e-07
81	1.072969e-05	7.129865e-07	1.055010e-05	6.743867e-07
82	1.031295e-05	6.087139e-07	1.023865e-05	-9.181710e-07
83	1.043300e-05	-9.145048e-07	1.069583e-05	3.737614e-07
84	1.072430e-05	3.597960e-07	1.062023e-05	8.643120e-07
85	1.042933e-05	8.894071e-07	1.023213e-05	-8.655652e-07
86	1.035306e-05	-7.814701e-07	1.063436e-05	1.412674e-07
87	1.066839e-05	-1.595342e-08	1.067844e-05	1.012603e-06
88	1.054495e-05	1.047449e-06	1.024404e-05	-7.618977e-07
89	1.032808e-05	-5.286400e-07	1.056845e-05	-9.683718e-08
90	1.057839e-05	-3.689871e-07	1.072218e-05	1.114076e-06
91	1.062923e-05	1.073063e-06	1.027025e-05	-6.121357e-07
92	1.036307e-05	-1.955096e-07	1.050702e-05	-3.266692e-07
93	1.047934e-05	-6.551997e-07	1.075243e-05	1.162151e-06
94	1.065600e-05	9.648358e-07	1.030336e-05	-4.270416e-07
95	1.043853e-05	1.692736e-07	1.045274e-05	-5.373509e-07
96	1.039907e-05	-8.321753e-07	1.076870e-05	1.155215e-06
97	1.062264e-05	7.419032e-07	1.033993e-05	-2.101229e-07
98	1.053543e-05	5.185154e-07	1.040983e-05	-7.201915e-07
99	1.035906e-05	-8.775017e-07	1.076835e-05	1.097447e-06
100	1.055101e-05	4.258561e-07	1.038143e-05	2.203977e-08
101	1.062148e-05	8.078225e-07	1.037830e-05	-8.660963e-07
102	1.037403e-05	-7.764933e-07	1.074942e-05	9.925669e-07
103	1.046335e-05	6.052997e-08	1.043003e-05	2.600113e-07
104	1.067601e-05	9.846885e-07	1.035900e-05	-9.707792e-07
105	1.042923e-05	-5.473765e-07	1.071494e-05	8.494033e-07
106	1.038147e-05	-2.944274e-07	1.047478e-05	4.887338e-07
107	1.068393e-05	1.025624e-06	1.035292e-05	-1.025784e-06
108	1.050499e-05	-2.188983e-07	1.067499e-05	6.733420e-07
109	1.032419e-05	-5.813809e-07	1.051227e-05	7.003515e-07
110	1.063916e-05	9.208669e-07	1.035512e-05	-1.029337e-06
111	1.058474e-05	1.440100e-07	1.063633e-05	4.666942e-07
112	1.030312e-05	-7.515383e-07	1.054144e-05	8.857848e-07
113	1.055940e-05	6.929682e-07	1.036196e-05	-9.810492e-07
114	1.065482e-05	4.811889e-07	1.059787e-05	2.390953e-07
115	1.032844e-05	-7.850817e-07	1.057271e-05	1.032801e-06
