turn	x1	x2	y1	y2
1	-4.1755672378760175e-6	2.757393413553151e-7	-4.779153195687409e-6	2.696269156540519e-7
2	-7.391996086081489e-6	-3.0752227890725704e-7	-6.3933518082702155e-6	-3.4130576516499103e-7
3	9.822913629389996e-6	-2.2723921819996173e-7	1.0388596031337583e-5	-1.0878671595906136e-7
4	-1.2563682389596715e-7	7.084896665406207e-7	-2.740094517414598e-6	6.74045339750069e-7
5	-9.700440093034317e-6	-3.1164697315777285e-7	-7.962016721438507e-6	-5.456363916617488e-7
6	7.5362768153449334e-6	-7.052105173635471e-7	9.72312657774687e-6	-3.666116012552775e-7
7	3.9106492527549815e-6	1.027736669502044e-6	-5.932421024890762e-7	1.0874414059505384e-6
8	-1.049786032728227e-5	1.9081371643695048e-8	-9.16876741025182e-6	-6.084951050031035e-7
9	4.11351453142124e-6	-1.2874455495761117e-6	8.635540939031452e-6	-7.56727558578435e-7
10	7.302676046102058e-6	1.0641797422566814e-6	1.5564325153463043e-6	1.4656062209278614e-6
11	-9.66819364143097e-6	6.537598971805095e-7	-9.958074974810911e-6	-5.13786285428844e-7
12	1.0706678221856017e-7	-1.789435706211069e-6	7.185499747532682e-6	-1.2398898293788995e-6
13	9.52454243635501e-6	7.188031923155069e-7	3.6083950247141587e-6	1.7646809865437366e-6
14	-7.36854823779573e-6	1.4691399842735527e-6	-1.0296541178483763e-5	-2.56801333076167e-7
15	-3.838672078974764e-6	-2.0187869235119583e-6	5.439435386069371e-6	-1.7725222656091587e-6
16	1.024193535455615e-5	-1.893915561984972e-8	5.466884629975731e-6	1.9436059813614526e-6
17	-3.9888705520652715e-6	2.2735243529376707e-6	-1.0177513142871608e-5	1.620288703223742e-7
18	-7.1098590530962245e-6	-1.823459748937462e-6	3.490566582130554e-6	-2.319422519303316e-6
19	9.374214425177082e-6	-1.054292960424248e-6	7.041245011240947e-6	1.9717666573269267e-6
20	-8.829899011626258e-8	2.8490209007108747e-6	-9.618905827372886e-6	7.257745364257728e-7
21	-9.209979002709815e-6	-1.1327777004752602e-6	1.4363945237146009e-6	-2.8281976585600887e-6
22	7.098528231833285e-6	-2.2050034662825644e-6	8.26853401438281e-6	1.8202686110800966e-6
23	3.7085774824514806e-6	2.9920062985462775e-6	-8.655756955392606e-6	1.4002536503202784e-6
24	-9.842141782866346e-6	5.467054065417462e-9	-6.253683491279769e-7	-3.247677006822327e-6
25	3.813363125194731e-6	-3.223720677352225e-6	9.099774718704663e-6	1.4757196306190942e-6
26	6.815009207873621e-6	2.5637744841134356e-6	-7.33982781766481e-6	2.1464818810155498e-6
27	-8.951927200395343e-6	1.4268273302351042e-6	-2.593983032342342e-6	-3.5347832018683485e-6
28	7.393186165783536e-8	-3.8641322826598115e-6	9.507599156145771e-6	9.388122410278048e-7
29	8.768672987897279e-6	1.5458349593895832e-6	-5.742184088275335e-6	2.9180436025907642e-6
30	-6.736228830114724e-6	2.8873005200030066e-6	-4.37974406785273e-6	-3.6490196136736013e-6
31	-3.5258779509875594e-6	-3.92264341318208e-6	9.48450265819967e-6	2.226327811308127e-7
32	9.312431738306715e-6	3.798230108312687e-8	-3.950613313186406e-6	3.66123037134301e-6
33	-3.5953050724094103e-6	4.105894192215178e-6	-5.907512043575474e-6	-3.5534778930822538e-6
34	-6.430861587164991e-6	-3.282418412445881e-6	9.042566658733341e-6	-6.413106370738308e-7
35	8.418514249485473e-6	-1.7381031297118526e-6	-2.0499973782496954e-6	4.315285420965093e-6
36	-6.00182900889748e-8	4.808590338587528e-6	-7.112590837641603e-6	-3.22537884293555e-6
37	-8.223296576040514e-6	-1.9660559212067415e-6	8.213100645160189e-6	-1.6109112123854196e-6
38	6.2948046920701995e-6	-3.492169711029902e-6	-1.415350701239667e-7	4.822389343160985e-6
39	3.3078758978510016e-6	4.796326695722247e-6	-7.946953270589527e-6	-2.664532522250623e-6
40	-8.684234263316233e-6	-1.1782050163639935e-7	7.050924508340666e-6	-2.6317587370345997e-6
41	3.3303476777345963e-6	-4.902348156877894e-6	1.6834859926249973e-6	5.1383528526362745e-6
42	5.995202042442454e-6	3.971317534248377e-6	-8.381358370152821e-6	-1.883860476631865e-6
43	-7.803115512789817e-6	1.9876005882747265e-6	5.62333929816876e-6	-3.6438904697074474e-6
44	2.6992517889406347e-8	-5.674766324543222e-6	3.3426649603851088e-6	5.220783237675577e-6
45	7.6214073439862975e-6	2.383129911284455e-6	-8.409708127410415e-6	-9.12390272953327e-7
46	-5.787580610841763e-6	4.014674177299324e-6	4.011284658985303e-6	-4.5842952699820364e-6
47	-3.0867799769969184e-6	-5.6048391471290725e-6	4.7581369829704735e-6	5.046379227903307e-6
48	7.99163321155798e-6	2.3413901337423088e-7	-8.043884115453957e-6	2.116396218328114e-7
49	-3.015080556096518e-6	5.602835981621115e-6	2.304596031939869e-6	-5.396286345397758e-6
50	-5.534731242145337e-6	-4.619908825321292e-6	5.8662660345875684e-6	4.6042967184567586e-6
51	7.120209859000935e-6	-2.1692762539439355e-6	-7.321023821868347e-6	1.4341213313009063e-6
52	3.2656954284236356e-8	6.4485979688335226e-6	6.002714943251752e-7	-6.0189871152070075e-6
53	-6.972928457357551e-6	-2.8011811443516078e-6	6.625156285613942e-6	3.9009475626770755e-6
54	5.220345000036322e-6	-4.445478718780622e-6	-6.295570115740928e-6	2.6914800273417304e-6
55	2.8640748346464282e-6	6.344568439370026e-6	-1.024123474219542e-6	-6.409556195307266e-6
56	-7.239116833925796e-6	-3.796461109843683e-7	7.012601468844975e-6	2.9604479496739687e-6
57	2.6539546479115356e-6	-6.209590433580139e-6	-5.0377284778507115e-6	3.9250969989778e-6
58	5.045867588068172e-6	5.225731883957491e-6	-2.4820939476511092e-6	-6.530970801485532e-6
59	-6.367781078897219e-6	2.2938551664676854e-6	7.030002362884629e-6	1.8136236075459441e-6
60	-1.203645472608107e-7	-7.130221280894222e-6	-3.629272312568848e-6	5.065225431605782e-6
61	6.272792624502168e-6	3.193929112471057e-6	-3.706434366651729e-6	-6.3636262772911615e-6
62	-4.5850525976402166e-6	4.804389960182574e-6	6.6964464133054855e-6	5.01712494846195e-7
63	-2.643462555628981e-6	-6.994571846400323e-6	-2.151614778765841e-6	6.053107419368979e-6
64	6.419950573146192e-6	5.256124288033646e-7	-4.645657095276008e-6	-5.8955728153479045e-6
65	-2.2443058456929502e-6	6.723498832106378e-6	6.055121690178261e-6	-9.221489625749992e-7
66	-4.53096348031444e-6	-5.754532702722019e-6	-6.904376474701097e-7	6.830265269866971e-6
67	5.55229224591419e-6	-2.389041214597386e-6	-5.266404276324172e-6	-5.131866587898701e-6
68	2.3225742349436862e-7	7.707279381901952e-6	5.160315369935745e-6	-2.3887190962990407e-6
69	-5.528249489285388e-6	-3.541199695897551e-6	6.788432663423123e-7	7.344879703878894e-6
70	3.895506969820251e-6	-5.095470672566518e-6	-5.554968877432664e-6	-4.094042365624862e-6
71	2.4281030214839857e-6	7.547045098371646e-6	4.073247991122209e-6	-3.830019364010208e-6
72	-5.547194173884595e-6	-6.651682016889401e-7	1.8839473468804887e-6	7.559690258013598e-6
73	1.7848517021010186e-6	-7.14494392654906e-6	-5.515995852206425e-6	-2.81994683984706e-6
74	4.001937492919037e-6	6.207352753926194e-6	2.8681139406514732e-6	-5.1732455427506255e-6
75	-4.67419068791833e-6	2.4518729522800404e-6	2.869980205936524e-6	7.4459143388319425e-6
76	-3.808440179877945e-7	-8.185706600083243e-6	-5.177696086588095e-6	-1.3544620902467988e-6
77	4.748874480863412e-6	3.845303791131232e-6	1.6244240873448096e-6	-6.3479023185188585e-6
78	-3.1383001200626628e-6	5.321720760248578e-6	3.5928881096044845e-6	6.98859880632152e-6
79	-2.2280504353436796e-6	-8.002925532069715e-6	-4.5760171202004895e-6	2.351602237496169e-7
80	4.618499759781711e-6	7.936697508780954e-7	4.129158630370571e-7	-7.2822553955438085e-6
81	-1.2663319309034515e-6	7.477179584730813e-6	4.026206037569634e-6	6.199467336237559e-6
82	-3.4635013740640828e-6	-6.57644847696741e-6	-3.761276686270775e-6	1.874833746057122e-6
83	3.724325583015799e-6	-2.4832008819485265e-6	-6.963809815083117e-7	-7.922253352064442e-6
84	5.712666358493186e-7	8.555998418601464e-6	4.160241481627969e-6	5.1061685220596196e-6
85	-3.930888097042765e-6	-4.093743260872576e-6	-2.800121277224346e-6	3.4837604847216795e-6
86	2.305486665423351e-6	-5.476434062668226e-6	-1.635762079570866e-6	-8.226038346715086e-6
87	2.0430425554497072e-6	8.345388759664218e-6	4.008102256808762e-6	3.7522014208953823e-6
88	-3.6268122625667387e-6	-9.10167045215297e-7	-1.7591754270795895e-6	4.981626379104005e-6
89	6.838632919835477e-7	-7.703313382130125e-6	-2.3593157625668774e-6	-8.168292586193148e-6
90	2.9096343853138403e-6	6.845769604197647e-6	3.598483937493532e-6	2.193891287160423e-6
91	-2.6973702690609985e-6	2.4826527610013002e-6	-7.133440333088569e-7	6.285099113991735e-6
92	-8.051423464743241e-7	-8.795563792593447e-6	-2.8301050045240006e-6	-7.73903147315418e-6
93	3.0704416819590062e-6	4.267461120909676e-6	2.9713192579145433e-6	5.076656133998187e-7
94	-1.3928229697629849e-6	5.550403404511581e-6	2.703389890082755e-7	7.327261232759098e-6
95	-1.8736714549906459e-6	-8.552232736150366e-6	-3.025674273155416e-6	-6.957962652373075e-6
96	2.57109376414843e-6	9.944346626316336e-7	2.176510008432092e-6	-1.2213924124128115e-6
97	-3.0962674738901905e-8	7.810189326709305e-6	1.122014301709498e-6	8.050668886845132e-6
98	-2.344479241366975e-6	-6.990347333934119e-6	-2.9499124890236883e-6	-5.859617535310989e-6
99	1.597914687608288e-6	-2.4664588873959206e-6	1.2829554645910664e-6	-2.9075074881022074e-6
100	1.0885998397943513e-6	8.890238439917517e-6	1.7898102067689604e-6	8.422073540468106e-6
101	-2.181360746346148e-6	-4.343064843271126e-6	-2.6248201221179114e-6	-4.498745609450072e-6
102	4.145426519381194e-7	-5.5635039614511285e-6	3.584683800314516e-7	-4.472655679657615e-6
103	1.7377998608335266e-6	8.602343794791814e-6	2.2284559536380946e-6	8.426946946447686e-6
