turn	x1	x2	y1	y2
1	-4.399151382206352e-6	-1.1897585680179873e-7	-4.74168148774259e-6	2.3308117075132656e-7
2	-8.423462957327741e-6	-1.1151618464666286e-6	-6.44485301469178e-6	-2.919716001152601e-7
3	9.596593684457155e-6	-3.183707513885288e-7	1.037626790045806e-5	-1.0210083188808554e-7
4	2.538116031327836e-8	3.689872468711752e-7	-2.632123446632176e-6	5.908611037741698e-7
5	-1.0746643852723471e-5	-1.0899116657058154e-6	-8.059347684589339e-6	-4.638146785726424e-7
6	6.925914089901893e-6	-8.656528291896077e-7	9.678005862884127e-6	-3.4208018680570133e-7
7	4.355141007831542e-6	7.187623935026725e-7	-4.110007434792834e-7	9.566743080243038e-7
8	-1.133655022174544e-5	-7.374669374686077e-7	-9.293521245895436e-6	-5.035764223348002e-7
9	3.044819736208231e-6	-1.4912069639287013e-6	8.538634943269652e-6	-7.027322627084099e-7
10	7.868123098989767e-6	7.784775213925008e-7	1.8095334829171028e-6	1.2876952263637412e-6
11	-1.0106509770735501e-5	-1.025595246375418e-7	-1.0088431162029866e-5	-3.954702444956766e-7
12	-1.3848713103704085e-6	-2.0103497574770198e-6	7.0211894777676885e-6	-1.1490983621355682e-6
13	9.980194816769507e-6	4.5809537171451893e-7	3.9204272557930245e-6	1.5426403231575925e-6
14	-7.278136040367009e-6	6.896712772332242e-7	-1.0407170250807346e-5	-1.3780993656388685e-7
15	-5.6120648596847835e-6	-2.2421198327823235e-6	5.1940086938674065e-6	-1.637161324704679e-6
16	1.034347067322049e-5	-2.3627372979401158e-7	5.822933082037922e-6	1.6809050553099845e-6
17	-3.3352981141383063e-6	1.4495033884045125e-6	-1.0240821888172044e-5	2.66763218825084e-7
18	-8.931389356620404e-6	-2.0595071995428853e-6	3.1515717781271802e-6	-2.1275817948985203e-6
19	8.90854705938181e-6	-1.1907678877990233e-6	7.427464603233697e-6	1.671081870622607e-6
20	1.0512546313401086e-6	1.9622635975096066e-6	-9.609359132903767e-6	7.996439865473482e-7
21	-1.0793267773075162e-5	-1.4190841937060295e-6	1.0004423176850636e-6	-2.5689482523447456e-6
22	5.936984203474506e-6	-2.2156553222703544e-6	8.664045609781021e-6	1.4877734170670312e-6
23	5.138356521769884e-6	2.0489880741304498e-6	-8.549781126411331e-6	1.428249449593615e-6
24	-1.0907825354146694e-5	-3.871927187720433e-7	-1.155349483292771e-6	-2.9134034232828986e-6
25	1.9503593015261236e-6	-3.076508217922032e-6	9.478710910230435e-6	1.123326312267668e-6
26	8.246379425231053e-6	1.6022403851404177e-6	-7.1201692000724934e-6	2.1137713594884568e-6
27	-9.281938850025193e-6	8.673562363753678e-7	-3.205038461940729e-6	-3.123884267883078e-6
28	-2.3558262578354437e-6	-3.5529638476716204e-6	9.83793469080363e-6	5.837143939937371e-7
29	9.862461291353192e-6	6.343059279964885e-7	-5.396862616013391e-6	2.8076932501880313e-6
