turn	x1	x2	y1	y2
1	-4.1765848456072616e-6	2.7609068437594385e-7	-4.7809518099480506e-6	2.699082677070883e-7
2	-7.392309930493715e-6	-3.090294446848358e-7	-6.3902078437453145e-6	-3.395827905775808e-7
3	9.826966240335934e-6	-2.2386496729961155e-7	1.0388584586704561e-5	-1.0977361882547235e-7
4	-1.2838032942744792e-7	7.077475862152749e-7	-2.7470540538448294e-6	6.73348690893138e-7
5	-9.703968482737651e-6	-3.1728045700996943e-7	-7.953767202328009e-6	-5.441334175347337e-7
6	7.5418745669208985e-6	-7.000801276253306e-7	9.723972945052376e-6	-3.668821216903654e-7
7	3.911139324034698e-6	1.0296671704323595e-6	-6.051294733931328e-7	1.0852348062369706e-6
8	-1.0503620542888636e-5	1.2426779765408561e-8	-9.159416942868536e-6	-6.079662158072061e-7
9	4.1188324838222365e-6	-1.285900752012174e-6	8.642423477055783e-6	-7.541506524634392e-7
10	7.3053486192168e-6	1.0701718535205649e-6	1.5404872818388257e-6	1.4633992353150021e-6
11	-9.678069184211368e-6	6.497616966129969e-7	-9.94939879368248e-6	-5.168075751416966e-7
12	1.1281776145158739e-7	-1.7923307583197394e-6	7.196309217495009e-6	-1.2350528660471236e-6
13	9.5307964141463e-6	7.237711501400975e-7	3.5892125914042845e-6	1.764334828066198e-6
14	-7.380833432554941e-6	1.4702202337664038e-6	-1.0291064166771e-5	-2.6126426181756234e-7
15	-3.834258938916796e-6	-2.024910314742207e-6	5.458133372137326e-6	-1.7680793492922183e-6
16	1.0251689757226937e-5	-1.6602240026508517e-8	5.444136981447732e-6	1.9437427264517298e-6
17	-4.003394625315288e-6	2.277236396883591e-6	-1.0178553951333922e-5	1.5523153096184065e-7
18	-7.107535197605048e-6	-1.827229844686899e-6	3.5162635557846745e-6	-2.309823583576493e-6
19	9.388320741755328e-6	-1.054918765179807e-6	7.0194818554528495e-6	1.9731226838256433e-6
20	-1.0469091633029816e-7	2.8548982192604465e-6	-9.624685054045798e-6	7.133448344084356e-7
21	-9.20987725685611e-6	-1.137246535309328e-6	1.464508166011168e-6	-2.816858232937916e-6
22	7.116435218481254e-6	-2.2063757517153667e-6	8.246615832501515e-6	1.8254954983567234e-6
23	3.6907280134115606e-6	3.0003642176975166e-6	-8.663932670618628e-6	1.3850576549211689e-6
24	-9.845963890649336e-6	-2.420175250204843e-9	-5.939099863190825e-7	-3.2384455904872123e-6
25	3.838495560136261e-6	-3.2268352605728486e-6	9.077906026052314e-6	1.4845456013139433e-6
26	6.798207785898516e-6	2.575554251121432e-6	-7.35344503337775e-6	2.1280794133004656e-6
27	-8.965675987003446e-6	1.4210334855234147e-6	-2.5589210865084487e-6	-3.5269364375782376e-6
28	1.0269914217908231e-7	-3.873026366724227e-6	9.487755585864407e-6	9.510687426123268e-7
29	8.758150078670337e-6	1.5579226023773432e-6	-5.763570101529778e-6	2.896084854342896e-6
30	-6.76006898622682e-6	2.8871603899599503e-6	-4.338944280516034e-6	-3.642342816194785e-6
31	-3.495692550036629e-6	-3.935647759794021e-6	9.466030637910524e-6	2.422452353203853e-7
32	9.313552249551548e-6	5.066366968344572e-8	-3.976913579098178e-6	3.6343961408984634e-6
33	-3.626660660893285e-6	4.110819992477817e-6	-5.86130372893267e-6	-3.5496607732675595e-6
34	-6.4072073760061875e-6	-3.3012241554863188e-6	9.027469409737499e-6	-6.15493135966069e-7
35	8.433128204198375e-6	-1.7294082467312825e-6	-2.086307650741702e-6	4.286758314863468e-6
36	-9.306417046034611e-8	4.822400364339319e-6	-7.0646257759162255e-6	-3.2264292423497663e-6
37	-8.211240223523463e-6	-1.9851451288647987e-6	8.206728078439109e-6	-1.5790077599433992e-6
38	6.3189444369318815e-6	-3.4887937044736934e-6	-1.857642365858484e-7	4.796640221693797e-6
39	3.2756508007476324e-6	4.815118006893962e-6	-7.901276554434197e-6	-2.6728549389328828e-6
40	-8.682215144858866e-6	-1.3768605363860343e-7	7.054830241540179e-6	-2.5941547524783714e-6
41	3.3620096560107353e-6	-4.905822751939996e-6	1.6328927424329075e-6	5.113489248264949e-6
42	5.966287202841871e-6	3.996222912100376e-6	-8.341991290263574e-6	-1.8990396459365483e-6
43	-7.811603163230694e-6	1.9702994832262395e-6	5.640243842895054e-6	-3.602602009186709e-6
44	6.372945140073375e-8	-5.68768456899389e-6	3.2865159259863274e-6	5.199560437545675e-6
45	7.6000069408291075e-6	2.413816415096697e-6	-8.379420276412158e-6	-9.343141656049398e-7
46	-5.8093304513991686e-6	4.003304087540211e-6	4.041578656037142e-6	-4.540544397266082e-6
47	-3.045900455237567e-6	-5.628191800323697e-6	4.6997987857118164e-6	5.029676994577744e-6
48	7.981000846154054e-6	2.621889082721083e-7	-8.025827191719625e-6	1.7861208143711025e-7
49	-3.0501053302950896e-6	5.603662055035513e-6	2.34868225344058e-6	-5.347805075789074e-6
50	-5.495275662126222e-6	-4.650588089227117e-6	5.811993969205573e-6	4.597016548736128e-6
51	7.1236594438285876e-6	-2.1456557926084058e-6	-7.318956370901331e-6	1.387700815447193e-6
52	-1.0158172461430803e-8	6.460345364422495e-6	6.514078701588394e-7	-5.969821452407769e-6
53	-6.943761723853169e-6	-2.8338441229104868e-6	6.579801089637682e-6	3.905800735251825e-6
54	5.240651835486832e-6	-4.432135619493486e-6	-6.310516434366782e-6	2.635964475229926e-6
