turn	x1	x2	y1	y2
1	3.1047672113922178e-9	-4.010643126391503e-10	3.146811083217533e-9	1.124977891152016e-9
2	5.114138544255187e-9	1.8000025355179722e-9	-4.943137284327305e-9	3.843467410544616e-9
3	-5.82719534698125e-9	-1.3475506476135256e-8	-2.2177890292357853e-9	2.11655834820669e-9
4	8.456623292727588e-10	6.067272554732967e-9	1.2211081830829467e-8	-4.819659847604806e-9
5	8.881683197021067e-9	1.8279236799989482e-8	-1.2461669373280589e-8	6.032500520195411e-9
6	-8.167287686147579e-9	-2.6749580842525233e-8	-4.209221542701251e-9	8.19736693743349e-9
7	-7.757591756487116e-9	9.55928659646596e-10	2.1835258536964863e-8	-1.4917796378592502e-8
8	9.435873621734042e-9	3.951378712758349e-8	-1.8428666998594017e-8	6.224738931905893e-9
9	-4.988022200318395e-9	-3.030593134427974e-8	-8.344657237822307e-9	1.2359754344651516e-8
10	-1.3900203015775741e-8	-1.962686823163848e-8	3.0584036183173326e-8	-2.3606251428337154e-8
11	1.0645045250727951e-8	5.973086223964628e-8	-2.1710643391461697e-8	6.154884721102511e-10
12	2.077900887898637e-9	-2.400840926841008e-8	-1.1272211511191652e-8	2.101913126920825e-8
13	-1.5255675975833978e-8	-4.952471377552094e-8	4.012659837328701e-8	-2.68088972323037e-8
14	7.493058562699981e-9	7.282962811168587e-8	-2.0599868527928e-8	-1.3500505773443167e-8
15	1.5363454565585772e-8	-5.276873721260303e-9	-2.117647775744873e-8	3.6278762971081426e-8
16	-1.4270442085871724e-8	-8.427137421567197e-8	5.0247904406098244e-8	-2.2697868282043274e-8
17	-2.0145549033762784e-9	7.346022040846119e-8	-1.7083425583487385e-8	-3.0522877558981293e-8
18	2.5804891795047773e-8	2.7789554240629755e-8	-3.337949674812107e-8	4.5426065596794596e-8
19	-7.888893767960815e-9	-1.1534023559266819e-7	5.5072788575532204e-8	-7.484959912349708e-9
20	-2.0309910802929003e-8	6.004104870954933e-8	-1.4588102941327385e-8	-4.695811232408191e-8
21	2.8633674721576067e-8	7.801241908265741e-8	-4.604793414947823e-8	4.8937368202465334e-8
22	6.683968432117937e-9	-1.3709606075248647e-7	5.901392194282953e-8	1.4172408470498956e-8
23	-4.210880788584226e-8	2.7445133626435857e-8	-1.0997904977958616e-8	-6.48733924854479e-8
24	2.0570388896363325e-8	1.353763019379538e-7	-6.126718058229203e-8	4.6393936565592815e-8
25	2.9382412847410235e-8	-1.3617629931709019e-7	6.25153025048418e-8	3.937559055751494e-8
26	-5.662111510061976e-8	-2.970042173279907e-8	-2.409517989754063e-9	-7.965818166911626e-8
27	1.4447567536741285e-9	1.807713652416236e-7	-7.487207487348551e-8	3.255650240926479e-8
28	6.422035539830493e-8	-1.1055521742916405e-7	6.61224226076782e-8	6.576819790845942e-8
29	-5.7812817868840744e-8	-9.92497085398221e-8	1.1970369152182347e-8	-8.677309825200198e-8
30	-3.2714860938315644e-8	2.0224244315524964e-7	-8.696969676675265e-8	7.567181522094083e-9
31	9.540071714732395e-8	-6.158880553794634e-8	6.868238276002445e-8	8.878520351723402e-8
32	-3.693038116290316e-8	-1.692367345725378e-7	2.7926678495311786e-8	-8.36535488283565e-8
33	-7.956708972375138e-8	1.9691746367840417e-7	-1.0019260630885918e-7	-2.18425322139687e-8
34	1.1243673287436126e-7	1.145109012204274e-8	6.627283605623126e-8	1.082872357990751e-7
35	5.044443495604116e-9	-2.1970549697263128e-7	5.23723899533819e-8	-7.419189133031644e-8
36	-1.306420806526213e-7	1.6133714442823845e-7	-1.1307111313021193e-7	-4.8547509639698186e-8
37	1.0250360661487872e-7	9.172681348660232e-8	5.385272782244886e-8	1.2181147596025037e-7
38	6.77160977086179e-8	-2.4581010919412685e-7	7.726293693688026e-8	-6.158176887515586e-8
39	-1.6573296864423596e-7	1.0490181126263175e-7	-1.2250523102269155e-7	-7.403523032545268e-8
40	5.459556772021251e-8	1.719153463130893e-7	3.3591322979366377e-8	1.29751174517663e-7
