turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042863688674095e-8	1.6115897272034455e-9	3.849993070495706e-6	1.1281234336020398e-8	1.0034661128962659e-9	3.9598392805126434e-5
1.0	2.093664179036116e-8	1.6252038694793337e-9	3.849994133548556e-6	1.1284084446739206e-8	1.005231016106756e-9	3.959839279295501e-5
2.0	2.1057845165177936e-8	1.622866602160139e-9	3.84999525273452e-6	1.1305850362281832e-8	1.0059380889452414e-9	3.9598393500931495e-5
3.0	2.0864861884266782e-8	1.6300812007239813e-9	3.849993511258854e-6	1.132446319575175e-8	1.0073276315936479e-9	3.9598392999849084e-5
4.0	2.0770179128948366e-8	1.6409423097334872e-9	3.849993635250677e-6	1.1341299472418652e-8	1.0082941256289417e-9	3.959839327351861e-5
5.0	2.142887157280114e-8	1.6333472810069365e-9	3.849993557384435e-6	1.1349613652096722e-8	1.008048841235569e-9	3.9598392857608636e-5
6.0	2.1986159896112776e-8	1.639561024531334e-9	3.849992497271767e-6	1.1364171579221762e-8	1.0096225832306143e-9	3.959839298230055e-5
7.0	2.1583630621327087e-8	1.6343391217951397e-9	3.849994037129537e-6	1.1363175358347706e-8	1.009436198100843e-9	3.959839283282016e-5
8.0	2.136780265955168e-8	1.636329574709239e-9	3.849994449589378e-6	1.1357286409834066e-8	1.0107225239782592e-9	3.959839258376184e-5
9.0	2.180926500181103e-8	1.64524791792463e-9	3.849993522405468e-6	1.1348635802932336e-8	1.0112346492812661e-9	3.9598392959852635e-5
10.0	2.252621620959396e-8	1.6406761119333326e-9	3.849993191747309e-6	1.1327616876997681e-8	1.012447575376744e-9	3.959839268744642e-5
11.0	2.235121416468327e-8	1.6452902759316784e-9	3.8499935705606636e-6	1.1307587404488881e-8	1.0133416327688576e-9	3.959839330300683e-5
12.0	2.1859590883544713e-8	1.6460262455928588e-9	3.849993322473544e-6	1.1293985448746991e-8	1.013616603716723e-9	3.959839268664948e-5
13.0	2.19717640669587e-8	1.6448271013583163e-9	3.849993576777263e-6	1.1288775822354754e-8	1.0139607173885145e-9	3.9598393003383616e-5
14.0	2.2374702368880825e-8	1.6492392366924616e-9	3.849993901091068e-6	1.1282703522691586e-8	1.0137012054856545e-9	3.959839267066536e-5
15.0	2.2430267957872428e-8	1.6478022328383642e-9	3.849993178413104e-6	1.1292100328851247e-8	1.0136718498172312e-9	3.9598392550523624e-5
16.0	2.2183082594696086e-8	1.6458057294168153e-9	3.8499931897410456e-6	1.1301469347916345e-8	1.013230357576585e-9	3.959839253344954e-5
17.0	2.2112329519629337e-8	1.6462290420396612e-9	3.849993544838747e-6	1.1318616126159653e-8	1.0128702285741501e-9	3.959839227708771e-5
18.0	2.218208046445745e-8	1.6461584342990227e-9	3.849993802617475e-6	1.133155418789064e-8	1.0121078066612816e-9	3.9598392578729944e-5
19.0	2.219083482656604e-8	1.647467705737137e-9	3.849994213321871e-6	1.134697566768134e-8	1.0112076557848534e-9	3.959839216938513e-5
20.0	2.2214032715519505e-8	1.6490447326954953e-9	3.849993739791896e-6	1.1353041962439612e-8	1.0101524455576042e-9	3.959839225888395e-5
21.0	2.22570384362336e-8	1.6482177953121653e-9	3.849993076002329e-6	1.1353070799206382e-8	1.0096053306429051e-9	3.9598392086614304e-5
22.0	2.2242589804841618e-8	1.649993787935591e-9	3.849993310413784e-6	1.1350643697759478e-8	1.0085566970635062e-9	3.9598391748892056e-5
23.0	2.2141678842212847e-8	1.6494813965156338e-9	3.849993878684631e-6	1.1338738587429577e-8	1.008292522761118e-9	3.9598391902991914e-5
24.0	2.2151151539286673e-8	1.6489583057805436e-9	3.849993565203699e-6	1.13293625657244e-8	1.00766387615551e-9	3.9598391320936154e-5
25.0	2.2256016337715473e-8	1.6491563470346384e-9	3.849994043059364e-6	1.1316131469800843e-8	1.0074877369985725e-9	3.959839168867811e-5
26.0	2.2302261870321206e-8	1.6489529562890719e-9	3.849993814061456e-6	1.1311357936989434e-8	1.0076738237220691e-9	3.959839127310616e-5
27.0	2.2242143274006047e-8	1.6494968649593248e-9	3.8499929136665595e-6	1.1304438057127608e-8	1.0075023494850263e-9	3.95983917638387e-5
28.0	2.2200213951231015e-8	1.649339580493482e-9	3.849992785931136e-6	1.1309072999292894e-8	1.0084058945467156e-9	3.959839160748216e-5
29.0	2.2198118536243763e-8	1.650905121413019e-9	3.849993912207409e-6	1.1311535195137814e-8	1.008222837691153e-9	3.959839180948398e-5
30.0	2.2277941948598253e-8	1.6505367915477835e-9	3.849993486368247e-6	1.1322596865430156e-8	1.0093157193066127e-9	3.9598391851423884e-5
31.0	2.2228536845538713e-8	1.6500176208597124e-9	3.8499931967784435e-6	1.1330145938035063e-8	1.0091840554848356e-9	3.959839192902623e-5
32.0	2.227539440414956e-8	1.6497063854111816e-9	3.84999347274658e-6	1.1338761710031156e-8	1.0098266864615579e-9	3.959839203480726e-5
33.0	2.2234745477960246e-8	1.6491393463959016e-9	3.849993039109177e-6	1.1343299613395643e-8	1.0100926085783745e-9	3.959839211509259e-5
34.0	2.2228206458468813e-8	1.649755392574433e-9	3.84999259030369e-6	1.1342946307686487e-8	1.0100277031245447e-9	3.95983922616153e-5
35.0	2.2238093851195115e-8	1.6496263781731694e-9	3.8499936317691125e-6	1.1342670493764301e-8	1.0108977537934273e-9	3.9598392192901205e-5
36.0	2.2237199108789156e-8	1.652734059625181e-9	3.8499937867608275e-6	1.1333468479294672e-8	1.0104303665522167e-9	3.95983922152918e-5
37.0	2.2273875438669468e-8	1.6515019589488391e-9	3.849993121239547e-6	1.1328834234094827e-8	1.0115391694279684e-9	3.9598392028799115e-5
38.0	2.222849226208763e-8	1.651481975410958e-9	3.849993258419571e-6	1.1317162401342637e-8	1.0111420622452488e-9	3.959839209383268e-5
39.0	2.2256066129067607e-8	1.6514646268148132e-9	3.849993290432766e-6	1.1314497503926045e-8	1.0117391380459448e-9	3.9598391798214656e-5
40.0	2.223657850598656e-8	1.6501477128194899e-9	3.8499930562949316e-6	1.130814278860127e-8	1.0115642449461683e-9	3.9598391902478896e-5
41.0	2.2247175241996767e-8	1.6509558271594952e-9	3.849993530024159e-6	1.1312567421763156e-8	1.0111439620486234e-9	3.959839160557175e-5
42.0	2.2229838554414982e-8	1.650654042905368e-9	3.8499934974222756e-6	1.1313414805273348e-8	1.0110204202363438e-9	3.9598391733921366e-5
43.0	2.226798302470149e-8	1.6524118890293739e-9	3.849993090997268e-6	1.1321782651677036e-8	1.0100299650106913e-9	3.959839160027998e-5
44.0	2.2260196157613027e-8	1.654340334056392e-9	3.849993293787808e-6	1.132658908085405e-8	1.0102051788017307e-9	3.959839173411853e-5
45.0	2.2251395538579013e-8	1.6533899049588547e-9	3.849993365760769e-6	1.1332711915509103e-8	1.0093315121501673e-9	3.959839173458046e-5
46.0	2.222780886014281e-8	1.653772654445663e-9	3.849993498862056e-6	1.1337895808375015e-8	1.0095189796252668e-9	3.959839167496064e-5
47.0	2.2237328239349856e-8	1.652929986420519e-9	3.849993343111027e-6	1.1338093251691418e-8	1.0091713164210966e-9	3.95983918250647e-5
48.0	2.226286808430849e-8	1.651415966020305e-9	3.849992874849574e-6	1.1340840332494805e-8	1.0092372064041765e-9	3.959839154347349e-5
49.0	2.2265285514546366e-8	1.6517416146570503e-9	3.849992994244265e-6	1.1333865515801498e-8	1.0093614608160404e-9	3.959839179409547e-5
50.0	2.226072339865274e-8	1.6523547572135692e-9	3.849993232212946e-6	1.1333901171992563e-8	1.0092641055253e-9	3.959839155881585e-5
51.0	2.224590297881872e-8	1.6533091252922405e-9	3.849993123548872e-6	1.1323866760898567e-8	1.0097061148428185e-9	3.95983919759971e-5
52.0	2.2240890645248363e-8	1.6544756139440242e-9	3.849993397124044e-6	1.132416995234501e-8	1.009859241999626e-9	3.959839216546573e-5
53.0	2.225482900004829e-8	1.6535954989563501e-9	3.849993699110629e-6	1.131717200750816e-8	1.0098428584892742e-9	3.959839232182145e-5
54.0	2.227306698148099e-8	1.655159082073699e-9	3.84999220086418e-6	1.1321256426466247e-8	1.0102066836523704e-9	3.9598392622955966e-5
55.0	2.2278592579328415e-8	1.6531760516235846e-9	3.849992542228315e-6	1.1319136558590277e-8	1.0101715196837403e-9	3.9598392477557374e-5
56.0	2.225604531469881e-8	1.6543758531164478e-9	3.849993547695245e-6	1.1325174560940311e-8	1.0107194178335692e-9	3.9598392979142835e-5
57.0	2.2245830945307614e-8	1.6539796552693202e-9	3.849993673166427e-6	1.1325254378104619e-8	1.0110042050616826e-9	3.9598392673053615e-5
58.0	2.225838940589182e-8	1.6543253052709849e-9	3.849992951436784e-6	1.1328954646760272e-8	1.0114290965607828e-9	3.9598393084541055e-5
59.0	2.228403797123896e-8	1.6560346712780696e-9	3.8499933503667875e-6	1.1330415339196955e-8	1.011937808841317e-9	3.959839285284042e-5
60.0	2.2263521804434045e-8	1.6560076676879964e-9	3.849993078519462e-6	1.133012093750276e-8	1.0118082885489177e-9	3.959839300745371e-5
61.0	2.2254656040308117e-8	1.6548131288613971e-9	3.849992555841432e-6	1.1332992568756653e-8	1.0121964549407607e-9	3.9598392951763064e-5
62.0	2.2264997336473383e-8	1.655941831355006e-9	3.849993282762354e-6	1.1326771497902359e-8	1.0115394181304526e-9	3.959839286584144e-5
63.0	2.22755224298748e-8	1.6555586660749392e-9	3.849993715035752e-6	1.1330748420641419e-8	1.0117682109019613e-9	3.9598393075126806e-5
64.0	2.225485228439597e-8	1.6535489057485287e-9	3.849993268469758e-6	1.132318962313328e-8	1.011394814681604e-9	3.959839292141954e-5
65.0	2.2273743348019083e-8	1.6551081983760769e-9	3.849993138996663e-6	1.1327843485977755e-8	1.011037235415047e-9	3.959839317565856e-5
66.0	2.2270524038342603e-8	1.6569093122395535e-9	3.849992982809697e-6	1.1323762713527963e-8	1.0112919770748423e-9	3.959839308316605e-5
67.0	2.22832276801922e-8	1.6559176948024242e-9	3.8499933039574085e-6	1.1329422288627783e-8	1.0103738064434393e-9	3.959839321766105e-5
68.0	2.2260045373245187e-8	1.6569707623971897e-9	3.84999301261438e-6	1.132746805553339e-8	1.0110901329599953e-9	3.959839324439627e-5
69.0	2.224646475895443e-8	1.6563107804947888e-9	3.849992987927987e-6	1.133355219972072e-8	1.0100175862205396e-9	3.959839312017852e-5
70.0	2.2296756667193062e-8	1.6570717099768901e-9	3.84999265206375e-6	1.1330669290808562e-8	1.010561712712114e-9	3.959839314862299e-5
71.0	2.2284548979426045e-8	1.6559347233563784e-9	3.8499929505200135e-6	1.1334768798597266e-8	1.0098514412896213e-9	3.95983927479407e-5
72.0	2.2252546704300036e-8	1.6569585647571312e-9	3.849993435707893e-6	1.1330935945664952e-8	1.009638390001437e-9	3.9598392648164256e-5
73.0	2.2254224625786655e-8	1.6563749158215393e-9	3.8499929408950044e-6	1.1331315316811465e-8	1.00979540291132e-9	3.959839237134352e-5
74.0	2.227660588385644e-8	1.6567984428125173e-9	3.849992895384856e-6	1.1329978794736737e-8	1.0090120718095797e-9	3.9598392157765465e-5
