turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.0428842304874772e-8	1.6115669894774362e-9	3.849936673285857e-6	1.1281162183209662e-8	1.0034722142894757e-9	3.959845975238462e-5
1.0	2.1022578747662536e-8	1.6260008782208792e-9	3.849936155198115e-6	1.1284844200426195e-8	1.006063221968277e-9	3.959845992651757e-5
2.0	2.1114102664246227e-8	1.6237986227238284e-9	3.8499377609486015e-6	1.1292979276713602e-8	1.0053774606335947e-9	3.959845976725809e-5
3.0	2.0953430590482676e-8	1.6339012321183676e-9	3.849937081907597e-6	1.1314305623744024e-8	1.0081602866089154e-9	3.959845930356592e-5
4.0	2.080805210916812e-8	1.6445861101101367e-9	3.849937055296968e-6	1.1326757440781955e-8	1.0083713493705967e-9	3.959845973022757e-5
5.0	2.153333733938773e-8	1.6372677648843256e-9	3.849936865071229e-6	1.1337538054893843e-8	1.008598211122485e-9	3.959845913624336e-5
6.0	2.2101844605529347e-8	1.6443918360845681e-9	3.8499372748855065e-6	1.1343580825002369e-8	1.0097987133748882e-9	3.9598459489683426e-5
7.0	2.161920285593355e-8	1.6382413495007518e-9	3.849937115366627e-6	1.1349145097260609e-8	1.008866579375392e-9	3.9598459108370423e-5
8.0	2.1462445222865542e-8	1.64021128104574e-9	3.84993707914269e-6	1.1344196764277431e-8	1.0108662819237008e-9	3.9598459496711265e-5
9.0	2.1950718682090508e-8	1.6491021420308267e-9	3.849937261331703e-6	1.1338426916076597e-8	1.0099211841218034e-9	3.959845978799371e-5
10.0	2.2623371821800808e-8	1.6437760787863625e-9	3.849936996174032e-6	1.1326139310833356e-8	1.0115834529513788e-9	3.959845932447662e-5
11.0	2.2356397509850127e-8	1.6487693995928161e-9	3.84993711391712e-6	1.1312438919626837e-8	1.011272785294235e-9	3.959845992728627e-5
12.0	2.1913836788211877e-8	1.6504189519596375e-9	3.849937204780957e-6	1.1299303703601778e-8	1.0118834902288377e-9	3.959845908489764e-5
13.0	2.2058495393676704e-8	1.647929043969536e-9	3.849937920999584e-6	1.1289867007601429e-8	1.012165459743201e-9	3.959845963121668e-5
14.0	2.2419850336100023e-8	1.6520495683165936e-9	3.849937236122079e-6	1.128885052954915e-8	1.0117102471871987e-9	3.9598459115735206e-5
15.0	2.2444111482667022e-8	1.6508516574046287e-9	3.84993663176684e-6	1.1289598961414754e-8	1.0122106991378584e-9	3.959845918098141e-5
16.0	2.2259848851742894e-8	1.6467228143972942e-9	3.84993675005018e-6	1.129831299043398e-8	1.0108376236170327e-9	3.959845933847398e-5
