turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042901366646767e-8	1.6114310255281827e-9	3.84994285619843e-6	1.1281215296509378e-8	1.0034690056970962e-9	3.959984817418013e-5
1.0	2.0936753010289212e-8	1.6237827617212684e-9	3.849942966762713e-6	1.1286069017852344e-8	1.0057658145809691e-9	3.9599847676261735e-5
2.0	2.106313698420193e-8	1.6231844984418764e-9	3.849943379852665e-6	1.1296562560450033e-8	1.0053815845054347e-9	3.959984823754011e-5
3.0	2.0882360557429124e-8	1.6295292447738932e-9	3.849943151892761e-6	1.1323229302279503e-8	1.0076310375108548e-9	3.9599847269717945e-5
4.0	2.074047215239642e-8	1.6402351229596106e-9	3.849942698966247e-6	1.1334029847550441e-8	1.0082543336688934e-9	3.9599847861962034e-5
5.0	2.1359250219902597e-8	1.632195442584364e-9	3.8499428876926565e-6	1.134587448111742e-8	1.0082674282306942e-9	3.9599847024340185e-5
6.0	2.1951495961217096e-8	1.639486306379169e-9	3.8499422147083984e-6	1.135653877295711e-8	1.0099814404528773e-9	3.959984766380265e-5
7.0	2.158212569726583e-8	1.6323084377295394e-9	3.849944046828508e-6	1.136012394668267e-8	1.0093456117577713e-9	3.9599846997744705e-5
8.0	2.1370608268670497e-8	1.6335595846481757e-9	3.849943604467482e-6	1.1356321725517974e-8	1.0113138377054562e-9	3.959984706737154e-5
9.0	2.1750267895927694e-8	1.6421861646265816e-9	3.849943372448823e-6	1.1347540797883865e-8	1.0110064692550147e-9	3.9599847017209306e-5
10.0	2.2505135124961453e-8	1.6373309937791639e-9	3.849942686398244e-6	1.1331546517449601e-8	1.0128761304234322e-9	3.959984690760593e-5
11.0	2.2344905491687385e-8	1.6424647193893549e-9	3.849942733854312e-6	1.1307465660167339e-8	1.0129937675711126e-9	3.959984731843106e-5
12.0	2.187735542863251e-8	1.6452044639246795e-9	3.849942306264071e-6	1.12954663747403e-8	1.0134259781424635e-9	3.959984661257639e-5
13.0	2.1961726483798826e-8	1.6434775991120022e-9	3.849943134557997e-6	1.1286138018627507e-8	1.0139051987056439e-9	3.959984722121601e-5
14.0	2.2436925779546044e-8	1.6479128850072633e-9	3.849943418168945e-6	1.1283254448412361e-8	1.0134689729916449e-9	3.959984670741838e-5
15.0	2.2449076914311003e-8	1.6461738517419693e-9	3.8499437998384274e-6	1.1282363467307216e-8	1.0140581041095161e-9	3.959984723235927e-5
16.0	2.2220714989280797e-8	1.6430428502645493e-9	3.84994308783516e-6	1.1295883951282922e-8	1.0128676745280981e-9	3.959984691273099e-5
17.0	2.2137778743022746e-8	1.6422484387438705e-9	3.849942601739575e-6	1.1304098757022528e-8	1.012711501637027e-9	3.959984689247274e-5
18.0	2.2245977176788563e-8	1.643115122555856e-9	3.849942447040527e-6	1.1325212561826902e-8	1.0112628380683715e-9	3.959984696737945e-5
19.0	2.227527209651794e-8	1.6415328232158478e-9	3.849942521461999e-6	1.1335565160620388e-8	1.010389563077871e-9	3.959984686123231e-5
20.0	2.2237713766615704e-8	1.6433781455648823e-9	3.849943231553884e-6	1.1348945594088106e-8	1.0095465094211742e-9	3.959984717251272e-5
21.0	2.2284721853673577e-8	1.6460504573589005e-9	3.849942713339488e-6	1.1349152440236411e-8	1.0086773818880166e-9	3.959984706271889e-5
22.0	2.2277395129965687e-8	1.6442449072803638e-9	3.8499436601049675e-6	1.1352652785987499e-8	1.0085277979088985e-9	3.959984740003545e-5
23.0	2.2228166918545172e-8	1.6478627292972707e-9	3.849943431543349e-6	1.1341654495442685e-8	1.0076989448858244e-9	3.95998474510917e-5
24.0	2.220149409788508e-8	1.6458304926758902e-9	3.849942952909375e-6	1.1335302244522622e-8	1.0077816289554692e-9	3.959984748245774e-5
25.0	2.2267497702895786e-8	1.6447037629185504e-9	3.849942006035937e-6	1.1320533369543772e-8	1.0071926810683404e-9	3.95998476275544e-5
26.0	2.2297708699435873e-8	1.642849952760238e-9	3.849942853003228e-6	1.1313081784925943e-8	1.0073215675287592e-9	3.959984772757476e-5
27.0	2.2295307112478052e-8	1.6437224209164568e-9	3.849942708792232e-6	1.1303556344436042e-8	1.007286831037327e-9	3.9599848134436764e-5
28.0	2.225534439594032e-8	1.6442624568015307e-9	3.849942788195909e-6	1.1302043968918172e-8	1.007476300970255e-9	3.959984841045379e-5
29.0	2.2257419101297716e-8	1.644990995765407e-9	3.849943723761013e-6	1.1304290423506588e-8	1.00808938574054e-9	3.959984884575697e-5
30.0	2.2255610208165076e-8	1.6474615209293157e-9	3.849943593175713e-6	1.1308007004335123e-8	1.0083790773773747e-9	3.959984899906405e-5
31.0	2.227151047562562e-8	1.6479758894144234e-9	3.849943025243016e-6	1.1318399487345747e-8	1.0090972986564572e-9	3.9599849115785034e-5
32.0	2.2311394398774592e-8	1.6472066743116785e-9	3.849942702403858e-6	1.1324689382019766e-8	1.0095600597755665e-9	3.9599849039721055e-5
33.0	2.2287348933431732e-8	1.6462666400081534e-9	3.8499421960077295e-6	1.1334905657383382e-8	1.01031298564665e-9	3.959984898700808e-5
34.0	2.223674136253151e-8	1.6447650086669046e-9	3.8499419294211695e-6	1.133607386648283e-8	1.0108486969416391e-9	3.959984885061891e-5
35.0	2.2266546698834492e-8	1.6435006167503395e-9	3.849942777334417e-6	1.1341310871138588e-8	1.011142788163717e-9	3.959984868433413e-5
36.0	2.2291979219106948e-8	1.6445249250738484e-9	3.849943242790412e-6	1.133457384544938e-8	1.0114829059914472e-9	3.959984850938463e-5
37.0	2.2297490849764505e-8	1.6458556811075098e-9	3.849943483001343e-6	1.1336403058330261e-8	1.011347663953713e-9	3.959984843826609e-5
38.0	2.2249145842559756e-8	1.6457176724376617e-9	3.8499433183207925e-6	1.1325543883275244e-8	1.011680357521644e-9	3.959984832709211e-5
39.0	2.226250049200601e-8	1.6484643730743894e-9	3.849942986902921e-6	1.1325604814562662e-8	1.0114087378350445e-9	3.959984849200665e-5
40.0	2.23327297148768e-8	1.6473745741413434e-9	3.849941751760739e-6	1.1314904650964183e-8	1.011641677252296e-9	3.959984834385644e-5
41.0	2.2276625744362354e-8	1.6464903206387567e-9	3.849941929079214e-6	1.1316398707408681e-8	1.0113447453129755e-9	3.959984852989011e-5
42.0	2.225485669996188e-8	1.6495525691991972e-9	3.849942356529019e-6	1.1311454808211052e-8	1.010996953019182e-9	3.959984821541215e-5
43.0	2.226262927558188e-8	1.6464031825050209e-9	3.8499429902891055e-6	1.1315438647676694e-8	1.0109810656461381e-9	3.9599848263512456e-5
44.0	2.234359639684758e-8	1.6480141984760505e-9	3.849943471132251e-6	1.1316657273931877e-8	1.0104358265528018e-9	3.959984804728883e-5
45.0	2.234454684987989e-8	1.6499906601083212e-9	3.849943746690181e-6	1.1321678289399029e-8	1.0105350967163382e-9	3.9599847880700435e-5
46.0	2.2235216976591024e-8	1.6494153411853688e-9	3.8499428552903674e-6	1.1324956734013184e-8	1.0100503594776662e-9	3.959984800396818e-5
47.0	2.2224140551170608e-8	1.649953211213235e-9	3.849942489610162e-6	1.1327210229656717e-8	1.009873717750269e-9	3.959984754550719e-5
48.0	2.2314842694260074e-8	1.6489669663893722e-9	3.84994255420089e-6	1.1329610953248845e-8	1.0095694375084127e-9	3.9599847719467456e-5
49.0	2.2355479330325847e-8	1.6496872462983995e-9	3.8499420045125715e-6	1.132878903365538e-8	1.0091050940092355e-9	3.95998470621499e-5
50.0	2.2283083969566677e-8	1.6483997759198312e-9	3.849942366384834e-6	1.1330991548566306e-8	1.0092768065542248e-9	3.959984724048617e-5
