turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.0428842304874772e-8	1.6115669894774362e-9	3.849936673285857e-6	1.1281162183209662e-8	1.0034722142894757e-9	3.959845975238462e-5
1.0	2.1021397202691064e-8	1.6259531758458804e-9	3.849936170257243e-6	1.1285065465031233e-8	1.0061975915541372e-9	3.959845993965457e-5
2.0	2.11135671636085e-8	1.6238757120347004e-9	3.849937765075532e-6	1.129835869259769e-8	1.0058358670031862e-9	3.959845977167531e-5
3.0	2.0957796832066036e-8	1.6336064139416224e-9	3.849937133390608e-6	1.1320822093105124e-8	1.0087293584365825e-9	3.9598459307916925e-5
4.0	2.080044552162414e-8	1.6446504405185204e-9	3.8499370899000635e-6	1.1332597706887741e-8	1.0090141406746655e-9	3.9598459771107216e-5
5.0	2.14622403026208e-8	1.6371092988312787e-9	3.849936916511054e-6	1.1344162782550416e-8	1.0092548726263454e-9	3.959845924169806e-5
6.0	2.2026284917662005e-8	1.6441256202914847e-9	3.849937274312078e-6	1.1357559555581018e-8	1.0108429620893897e-9	3.959845955210144e-5
7.0	2.1608863884086752e-8	1.638486159450787e-9	3.849937122904238e-6	1.1363962542600207e-8	1.0098881923067512e-9	3.959845926289482e-5
8.0	2.1429712748615003e-8	1.6397937894796495e-9	3.849937039855679e-6	1.1359079768500891e-8	1.0117990215563157e-9	3.959845967488978e-5
9.0	2.1847644754702783e-8	1.649168606792083e-9	3.849937276894836e-6	1.1353021924544209e-8	1.0110476838048573e-9	3.959846003853084e-5
10.0	2.254779095847128e-8	1.644387016638757e-9	3.8499370083522376e-6	1.13357515695046e-8	1.012760316793711e-9	3.9598459468446244e-5
11.0	2.235668658216936e-8	1.6496915604830865e-9	3.849937114273261e-6	1.1316147476209952e-8	1.012674933771506e-9	3.959846009006804e-5
12.0	2.1879280162966016e-8	1.6524047829232358e-9	3.849937121209391e-6	1.1305680791982714e-8	1.0132010643208263e-9	3.959845923912138e-5
13.0	2.201386046462331e-8	1.6489607421195222e-9	3.849937833599413e-6	1.1296883548283478e-8	1.0135658143911898e-9	3.959845989688508e-5
14.0	2.2434552053803293e-8	1.6538579866428977e-9	3.84993722967876e-6	1.1290603873189183e-8	1.0131343795199756e-9	3.9598459459147e-5
15.0	2.2455796733134138e-8	1.6523513827752647e-9	3.8499366446309215e-6	1.1291342750269564e-8	1.013500188477672e-9	3.959845944651082e-5
16.0	2.2219797602320498e-8	1.6480903363854566e-9	3.849936750843437e-6	1.1301205612490054e-8	1.012137169980702e-9	3.959845960603446e-5
17.0	2.216831681460965e-8	1.6485607997985418e-9	3.849936987487258e-6	1.1310830016399104e-8	1.0121964856724979e-9	3.9598458817916185e-5
18.0	2.223351552736173e-8	1.649407208312656e-9	3.849937048127669e-6	1.1323792975935934e-8	1.0105013065481644e-9	3.959845969839626e-5
19.0	2.2236389681924365e-8	1.650331377451747e-9	3.849937358020182e-6	1.1334108156726945e-8	1.010098011679265e-9	3.959845861492563e-5
20.0	2.2274427412307877e-8	1.6507926453588646e-9	3.849937610755257e-6	1.1344004582932793e-8	1.009142917698356e-9	3.959845977892367e-5
21.0	2.2330529086322278e-8	1.651631668674396e-9	3.849936571461036e-6	1.1344826437167699e-8	1.0088942329294397e-9	3.95984589153302e-5
22.0	2.227401180027458e-8	1.6519847448617896e-9	3.849936657812526e-6	1.1350225029439468e-8	1.0083791160358329e-9	3.959845984678637e-5
23.0	2.219629053265365e-8	1.6513225318563256e-9	3.84993662707963e-6	1.1342211610627843e-8	1.0081198028429753e-9	3.959845939991806e-5
24.0	2.219462470868785e-8	1.653117077499004e-9	3.849937408548068e-6	1.1336110451662396e-8	1.008095106945494e-9	3.9598459587182285e-5
25.0	2.2349168649349166e-8	1.6523096788696938e-9	3.849936856823362e-6	1.1327495861560998e-8	1.0079561467666169e-9	3.959845978969556e-5
26.0	2.2345351266522062e-8	1.6511938303984315e-9	3.849937125437178e-6	1.1320013282446214e-8	1.0083688406510202e-9	3.959845949407497e-5
27.0	2.2281536372837776e-8	1.6530959233496572e-9	3.849937056052965e-6	1.1315050391383692e-8	1.0082203335109006e-9	3.9598460103388876e-5
28.0	2.2249320896732915e-8	1.6522780063790872e-9	3.849936856012934e-6	1.1313269949474824e-8	1.0089270555474227e-9	3.9598459714892784e-5
29.0	2.229048841192436e-8	1.6530078512509961e-9	3.849936409234008e-6	1.1315842583479264e-8	1.0086850076363602e-9	3.95984603724489e-5
30.0	2.2307150297915044e-8	1.6547132494460113e-9	3.849937123596523e-6	1.131785907131783e-8	1.009562896134615e-9	3.959846011956942e-5
31.0	2.2289311712297896e-8	1.6540591298265417e-9	3.84993728422906e-6	1.1324572785876521e-8	1.0094623737466515e-9	3.959846046096176e-5
32.0	2.231913870889718e-8	1.6533100511457173e-9	3.849936916701581e-6	1.1327557988222538e-8	1.0103511120174709e-9	3.959846058048589e-5
33.0	2.2318627891162874e-8	1.6546060508151488e-9	3.849937322789113e-6	1.1332442977265431e-8	1.010653854893247e-9	3.959846033259889e-5
34.0	2.2282540926649456e-8	1.6541440338614261e-9	3.8499373878331556e-6	1.133089642346514e-8	1.0111662401500259e-9	3.9598460392648595e-5
35.0	2.2262088148167393e-8	1.652916413212177e-9	3.849936672459725e-6	1.1333548911762024e-8	1.011999105597163e-9	3.95984598542539e-5
36.0	2.2325272065145744e-8	1.6547970101272349e-9	3.849935858537583e-6	1.1326836553677165e-8	1.0115344453057143e-9	3.959845974160233e-5
37.0	2.231379180245265e-8	1.6536666585606135e-9	3.8499368685232475e-6	1.1326758099882443e-8	1.0124713621195978e-9	3.95984594305865e-5
38.0	2.2321823357930702e-8	1.656287498114517e-9	3.849937184982915e-6	1.1320811884402226e-8	1.011387292438644e-9	3.959845929094186e-5
39.0	2.2289283602745435e-8	1.6560791026460454e-9	3.849937288674165e-6	1.1321482576285702e-8	1.0120411286488654e-9	3.9598459436332805e-5
40.0	2.2318237518131448e-8	1.6554444221973969e-9	3.849936902705067e-6	1.1319634054899314e-8	1.0111672728526738e-9	3.959845923252782e-5
41.0	2.229891198910693e-8	1.6560612299456028e-9	3.849937121653956e-6	1.1323026523033175e-8	1.0113563290894804e-9	3.9598459465761976e-5
42.0	2.2313502791840294e-8	1.6553169581836532e-9	3.84993597587938e-6	1.1326032962842553e-8	1.011259907833172e-9	3.95984591637316e-5
43.0	2.2328360588333884e-8	1.655793090517565e-9	3.8499355167547155e-6	1.1328779570924285e-8	1.0106680266176069e-9	3.95984593020694e-5
44.0	2.23236093817745e-8	1.6553190750980512e-9	3.849936757639095e-6	1.1333500584955079e-8	1.0109962813328406e-9	3.9598458934334575e-5
45.0	2.2322027274758928e-8	1.658382197675619e-9	3.849937294395862e-6	1.1333253345125658e-8	1.0095990467037686e-9	3.95984589475194e-5
46.0	2.227458950204643e-8	1.6582234898386404e-9	3.849937388852921e-6	1.1335814269933606e-8	1.0100406741503384e-9	3.9598458557177563e-5
47.0	2.23264155451896e-8	1.6573471346220445e-9	3.849936523533937e-6	1.1331800283828881e-8	1.0088596706521125e-9	3.9598458568215324e-5
48.0	2.2325706749181123e-8	1.6583907913581118e-9	3.8499372599112185e-6	1.1331531847528294e-8	1.0093398992854193e-9	3.959845834871632e-5
49.0	2.234321951481909e-8	1.6581207696661348e-9	3.849936465263018e-6	1.132561794804383e-8	1.0090151139122483e-9	3.9598458442980615e-5
