turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042863688674095e-8	1.6115897272034455e-9	3.849993070495706e-6	1.1281234336020398e-8	1.0034661128962659e-9	3.9598392805126434e-5
1.0	2.092748302662254e-8	1.6251532668560488e-9	3.849994129243256e-6	1.128402387231338e-8	1.0052128244888817e-9	3.959839279233197e-5
2.0	2.1047443836792278e-8	1.6228332904863227e-9	3.849995247738391e-6	1.1305221693032218e-8	1.0059095665417194e-9	3.959839349718413e-5
3.0	2.0857574245989284e-8	1.6299830766771312e-9	3.8499935107176766e-6	1.1323366775755192e-8	1.0072818361776453e-9	3.95983929989643e-5
4.0	2.0762213474841872e-8	1.6408220586413755e-9	3.849993629021376e-6	1.133996285690655e-8	1.0082461094388702e-9	3.959839327102856e-5
5.0	2.1407659260369917e-8	1.6332280166069356e-9	3.8499935580907445e-6	1.1347957589084003e-8	1.007998628037896e-9	3.959839285717811e-5
6.0	2.1964519815462862e-8	1.6394056541472029e-9	3.849992494165636e-6	1.136200920959073e-8	1.0095603404419763e-9	3.959839298513054e-5
7.0	2.1569252303674037e-8	1.6342324514378819e-9	3.849994015208749e-6	1.1360869579756165e-8	1.0093853512416088e-9	3.959839284056965e-5
8.0	2.1352304026540053e-8	1.6361987367725714e-9	3.849994450956795e-6	1.1355028766039487e-8	1.0106637256446552e-9	3.959839259393291e-5
9.0	2.1783919673257956e-8	1.6451553633165961e-9	3.849993530971713e-6	1.134644438485487e-8	1.0111748845957884e-9	3.959839296912724e-5
10.0	2.2501731394357456e-8	1.6405796644028765e-9	3.849993184813236e-6	1.1325941279529844e-8	1.012373845812491e-9	3.9598392697560175e-5
11.0	2.2337322388819152e-8	1.645191809375467e-9	3.849993561977566e-6	1.1306410806796527e-8	1.01327125529769e-9	3.9598393311593136e-5
12.0	2.1845968535603674e-8	1.645937794279055e-9	3.849993313437423e-6	1.1292954822269364e-8	1.0135434018787683e-9	3.959839269938628e-5
13.0	2.1949602932116494e-8	1.644669108234653e-9	3.849993554823069e-6	1.1287988284801423e-8	1.013888798368939e-9	3.959839301045424e-5
