turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042863688674095e-8	1.6115897272034455e-9	3.849993070495706e-6	1.1281234336020398e-8	1.0034661128962659e-9	3.9598392805126434e-5
1.0	2.0915777711318167e-8	1.6250874006363025e-9	3.849994125847751e-6	1.1283990600464666e-8	1.005118310523888e-9	3.959839279965732e-5
2.0	2.1034020032797855e-8	1.622792080610445e-9	3.8499952469973545e-6	1.1304841202240083e-8	1.005749782978429e-9	3.959839350089413e-5
3.0	2.0848238020014547e-8	1.6298143168021363e-9	3.849993519495009e-6	1.132274778603205e-8	1.0069960918437464e-9	3.959839302172693e-5
4.0	2.075191364929416e-8	1.6405600199632472e-9	3.849993636159268e-6	1.1339241326006892e-8	1.0079124379162179e-9	3.959839329340306e-5
5.0	2.13801869393685e-8	1.6329844769257117e-9	3.849993569803546e-6	1.1347049200801933e-8	1.0076421142710112e-9	3.9598392901607695e-5
6.0	2.19374289381009e-8	1.6391397722911904e-9	3.8499925046405775e-6	1.1360794623850228e-8	1.0091309470877617e-9	3.9598393035283806e-5
7.0	2.1551637700186204e-8	1.6340514282582832e-9	3.849994017384415e-6	1.1359635948738802e-8	1.0089562658394485e-9	3.9598392902013566e-5
8.0	2.1333148337460147e-8	1.6360529164333791e-9	3.8499944828927715e-6	1.135383845134398e-8	1.0101788878186854e-9	3.9598392663540554e-5
9.0	2.1751294224752578e-8	1.6449466438015454e-9	3.849993570502931e-6	1.1345358434683094e-8	1.0106336047672031e-9	3.9598393033999006e-5
10.0	2.2471534345386722e-8	1.6404331386654707e-9	3.849993212850787e-6	1.132529712154659e-8	1.0117453244215118e-9	3.9598392784743494e-5
11.0	2.232154255238042e-8	1.6449934194816738e-9	3.8499935890496725e-6	1.1306060152151529e-8	1.0125917120896277e-9	3.959839338966612e-5
12.0	2.1829627557487136e-8	1.6457139192014911e-9	3.849993343265028e-6	1.1292650317461827e-8	1.012796716868455e-9	3.959839280441727e-5
13.0	2.1922750970302274e-8	1.6443553519295142e-9	3.849993557745023e-6	1.1287881131552919e-8	1.0131498068090167e-9	3.959839310050639e-5
14.0	2.233209958395522e-8	1.6487822330046601e-9	3.849993952741549e-6	1.1282476788615139e-8	1.0128787268833955e-9	3.959839278979492e-5
15.0	2.241035648377157e-8	1.6474047632089738e-9	3.849993229277226e-6	1.1291656014682488e-8	1.0128687349419074e-9	3.959839268217095e-5
16.0	2.215566830090815e-8	1.6453604947823012e-9	3.849993172379577e-6	1.1300883768928577e-8	1.0124303564775958e-9	3.959839266346399e-5
17.0	2.2067953166451236e-8	1.6457885320115573e-9	3.8499935294723345e-6	1.1317413074224016e-8	1.0120815565785608e-9	3.9598392412496414e-5
18.0	2.214659076155095e-8	1.6457813779877436e-9	3.8499937918114055e-6	1.1329763549199138e-8	1.0113793486376423e-9	3.959839270636203e-5
19.0	2.2169586686294903e-8	1.646963764061536e-9	3.8499942036084625e-6	1.1344539807176027e-8	1.0105047958946828e-9	3.9598392315157685e-5
20.0	2.2180950705889808e-8	1.6485872072906834e-9	3.849993825980901e-6	1.1350253852563183e-8	1.0095243896148907e-9	3.9598392377038415e-5
21.0	2.2211072040928793e-8	1.6477266348751704e-9	3.849993138605274e-6	1.1349930157997595e-8	1.0090147794797907e-9	3.9598392220866926e-5
22.0	2.2205348386921766e-8	1.6494500430130272e-9	3.849993261323915e-6	1.1347209237720911e-8	1.008040272057484e-9	3.9598391862555496e-5
23.0	2.2112966257307976e-8	1.6491017186754829e-9	3.849993829260177e-6	1.1335403787700828e-8	1.0078039675152355e-9	3.959839201984267e-5
24.0	2.211210997295243e-8	1.6484470626588006e-9	3.8499935825136656e-6	1.1326211398508184e-8	1.0072376892636335e-9	3.959839143915194e-5
25.0	2.2209896010199605e-8	1.6486934970861143e-9	3.849994024107183e-6	1.1313351507112494e-8	1.0070881968526277e-9	3.959839181065188e-5
26.0	2.2266040900346583e-8	1.6485623762161367e-9	3.849993874899639e-6	1.1308864072035284e-8	1.0072965633834067e-9	3.959839140980812e-5
27.0	2.2207314592222705e-8	1.6489300737566421e-9	3.849993018822833e-6	1.1302303336747557e-8	1.007152933102413e-9	3.959839188335206e-5
28.0	2.215774149347494e-8	1.6487261827795015e-9	3.849992725929507e-6	1.130698345647064e-8	1.0080064690402402e-9	3.9598391749160275e-5
29.0	2.215391713933461e-8	1.6502759541957686e-9	3.849993802426546e-6	1.1309667650752446e-8	1.0078126949909742e-9	3.959839192595794e-5
30.0	2.2242383791425252e-8	1.6500792713375746e-9	3.849993555516696e-6	1.132056863117918e-8	1.0088324545941184e-9	3.959839197803474e-5
31.0	2.219424459112195e-8	1.6494362233262853e-9	3.8499932276869705e-6	1.1327964617889833e-8	1.0086933632507624e-9	3.9598392035311084e-5
32.0	2.2232399505862123e-8	1.6491705973596002e-9	3.84999348331951e-6	1.1336224429385313e-8	1.0092659646282635e-9	3.959839214971692e-5
33.0	2.2193716111504614e-8	1.6486943933861684e-9	3.849993162907632e-6	1.1340806441620822e-8	1.0095153244583462e-9	3.959839222290625e-5
34.0	2.2194032629523106e-8	1.649235953249132e-9	3.849992589523248e-6	1.1340320696131254e-8	1.0094254719373283e-9	3.959839236415186e-5
35.0	2.2201555324422906e-8	1.6491690942613267e-9	3.849993574962761e-6	1.1339905237312948e-8	1.0102873995369003e-9	3.959839227612212e-5
36.0	2.2196123865537936e-8	1.6522228452006762e-9	3.849993872359553e-6	1.133085753818298e-8	1.009828023489373e-9	3.959839228839512e-5
37.0	2.223423126387385e-8	1.6509301398885035e-9	3.8499932140320015e-6	1.132634959408924e-8	1.0108915740463252e-9	3.959839210567048e-5
38.0	2.2196125650761198e-8	1.650824370965905e-9	3.849993248478949e-6	1.1315010326130489e-8	1.0104969700234844e-9	3.9598392163224165e-5
39.0	2.2215910738252178e-8	1.650997278408371e-9	3.849993328898558e-6	1.1312468616945777e-8	1.011008762049662e-9	3.959839187989959e-5
40.0	2.2198843143274877e-8	1.6496375722137424e-9	3.849993088468159e-6	1.1306441389560751e-8	1.0108132793757012e-9	3.959839196537798e-5
41.0	2.220825187856304e-8	1.6503515733874714e-9	3.849993521839213e-6	1.1310747107611873e-8	1.0103393709310879e-9	3.959839170641354e-5
42.0	2.2198553737500522e-8	1.6504009687477856e-9	3.849993618132769e-6	1.131171422216876e-8	1.0102394506839525e-9	3.9598391816284756e-5
43.0	2.2226448022843334e-8	1.6519698958423123e-9	3.849993176377007e-6	1.1320031793959613e-8	1.0092654239804413e-9	3.959839170481412e-5
44.0	2.2223247445296314e-8	1.654085922939645e-9	3.849993204972424e-6	1.1324957250914739e-8	1.0094708513322522e-9	3.959839182693382e-5
45.0	2.2214400221161326e-8	1.6529688951989782e-9	3.849993329871303e-6	1.133082465664919e-8	1.0086391155341784e-9	3.959839185060212e-5
46.0	2.219621912229809e-8	1.6531927857693717e-9	3.849993531761224e-6	1.1335982520548537e-8	1.0088632510859187e-9	3.959839177946638e-5
47.0	2.2199150568191287e-8	1.6523088559002447e-9	3.849993401553447e-6	1.1335859111187377e-8	1.008544710200521e-9	3.959839192086798e-5
48.0	2.2228184281902092e-8	1.6508060820366464e-9	3.849993028594109e-6	1.133845022072155e-8	1.0086230529660192e-9	3.95983916647174e-5
49.0	2.2227245808002734e-8	1.6515480443961902e-9	3.849993003430224e-6	1.1331421750881517e-8	1.0087935912401374e-9	3.9598391912765095e-5
50.0	2.2226466740718202e-8	1.6520037427543537e-9	3.849993145164829e-6	1.1331179672296393e-8	1.0087226628448305e-9	3.9598391718835174e-5
51.0	2.22095257612242e-8	1.65292763089672e-9	3.84999302389251e-6	1.1321262741363848e-8	1.009141867714099e-9	3.959839209541385e-5
