turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042908293953415e-8	1.6115840823421875e-9	3.8499871731240865e-6	1.1281249147272375e-8	1.0034676489862682e-9	3.959997587408601e-5
1.0	2.0896909910500887e-8	1.6245793145580404e-9	3.849987606308143e-6	1.1285501768278098e-8	1.0050933450446644e-9	3.95999759186323e-5
2.0	2.1002502921868592e-8	1.6229890450601714e-9	3.849988233714079e-6	1.1296447015468695e-8	1.0049137828637316e-9	3.959997612995488e-5
3.0	2.0849267657381224e-8	1.6314572394681216e-9	3.849988456485928e-6	1.1313970591041998e-8	1.006948880003099e-9	3.9599975789166115e-5
4.0	2.072486998098691e-8	1.644464540345466e-9	3.8499879961861775e-6	1.1324769433803563e-8	1.0076512642691358e-9	3.959997617533667e-5
5.0	2.131347287136214e-8	1.6342504480706233e-9	3.849987527054596e-6	1.1333788632232882e-8	1.0079557652755286e-9	3.959997573615167e-5
6.0	2.1886661575817607e-8	1.6422919502288835e-9	3.84998679445698e-6	1.1343846604098431e-8	1.0091755184164358e-9	3.959997592786237e-5
7.0	2.152075312465985e-8	1.6362722239112281e-9	3.849987632578617e-6	1.1349173797213793e-8	1.0088158060633933e-9	3.9599975580830365e-5
8.0	2.1322896171603143e-8	1.6377105775818572e-9	3.84998802721246e-6	1.13470775781029e-8	1.009944966504167e-9	3.959997544137435e-5
9.0	2.1676228319690022e-8	1.649617645637531e-9	3.8499878911453955e-6	1.1340318358509183e-8	1.0096352263151222e-9	3.959997559945627e-5
10.0	2.242805871832924e-8	1.6432214234236842e-9	3.8499881261296036e-6	1.132788309781896e-8	1.01103543532658e-9	3.959997523850221e-5
11.0	2.2305764861314643e-8	1.6495381765864312e-9	3.849987732782646e-6	1.1306416285230959e-8	1.0112718359918964e-9	3.959997557950763e-5
12.0	2.1819729426220798e-8	1.6511804026931404e-9	3.849987171509448e-6	1.129827759392133e-8	1.0120385391040754e-9	3.959997501653143e-5
13.0	2.1893221374218554e-8	1.6494099536172037e-9	3.8499877218416876e-6	1.128869164241416e-8	1.0123177462211062e-9	3.959997517604045e-5
14.0	2.2318716915319207e-8	1.6535180619960771e-9	3.849988399827941e-6	1.1285591306127158e-8	1.0123279473353472e-9	3.9599974963194045e-5
15.0	2.243758045186479e-8	1.649251912032022e-9	3.849987310560632e-6	1.1285371194120275e-8	1.0123373208520606e-9	3.959997485458356e-5
16.0	2.2178359564699052e-8	1.6478297731498948e-9	3.849986996119957e-6	1.1293164439734079e-8	1.0113176646839781e-9	3.959997471188056e-5
17.0	2.2064876504872787e-8	1.647712509461981e-9	3.8499878716910266e-6	1.1301493163006162e-8	1.0115109054561996e-9	3.9599974252575293e-5
18.0	2.2143440493259975e-8	1.6483724533680498e-9	3.849987572744242e-6	1.131359191470274e-8	1.0099801508577089e-9	3.9599974248843104e-5
19.0	2.2195246622582054e-8	1.6505522894582355e-9	3.849988142725746e-6	1.1324019072807487e-8	1.0100786410448141e-9	3.9599973928595295e-5
20.0	2.2200651356287435e-8	1.652599276477939e-9	3.849988038123481e-6	1.1335191773442855e-8	1.0090278398686914e-9	3.959997403384474e-5
21.0	2.2229147145899646e-8	1.6521070817951304e-9	3.849986822364856e-6	1.1335970691150137e-8	1.0090311222394805e-9	3.959997402192897e-5
22.0	2.2181162763495488e-8	1.6525509894773886e-9	3.8499868610291516e-6	1.1341428458315619e-8	1.0085062296975007e-9	3.95999739599634e-5
23.0	2.2140391664877285e-8	1.6518190507401563e-9	3.849987619763409e-6	1.1333391428972332e-8	1.0082218077444198e-9	3.9599974340453464e-5
24.0	2.2116038652447962e-8	1.6506438957138212e-9	3.849987889101042e-6	1.1327812701295337e-8	1.0082191649251962e-9	3.9599973979707356e-5
25.0	2.222201352042216e-8	1.6501062740054717e-9	3.849988069918694e-6	1.1318383274512096e-8	1.0076064843388438e-9	3.959997445417214e-5
26.0	2.2271541982511597e-8	1.6514518790221127e-9	3.849987602414946e-6	1.1311199213512601e-8	1.0080462198329943e-9	3.9599974044009016e-5
27.0	2.220427310472167e-8	1.6513378675285945e-9	3.8499865825912165e-6	1.1303355548668021e-8	1.0073797709435057e-9	3.959997464925316e-5
28.0	2.2164074489357552e-8	1.6517614357196868e-9	3.8499864120594454e-6	1.1302811971133807e-8	1.0082154049103218e-9	3.959997446440388e-5
29.0	2.2160045160095757e-8	1.6540921482392957e-9	3.849987448444738e-6	1.1301266376648118e-8	1.007985122986965e-9	3.9599975030112115e-5
30.0	2.2210831586542194e-8	1.6541307034291097e-9	3.849988292902585e-6	1.1307458410092013e-8	1.008785497980498e-9	3.959997501573345e-5
31.0	2.2245150364385388e-8	1.6539548656517862e-9	3.849988196217055e-6	1.1312318416371376e-8	1.009106169225045e-9	3.959997525626005e-5
32.0	2.2219826502581342e-8	1.6533969344955776e-9	3.849987496125044e-6	1.1319474810103097e-8	1.009383276475712e-9	3.959997534875947e-5
33.0	2.2218053677417992e-8	1.6537690795110023e-9	3.849987152664741e-6	1.1327496537825383e-8	1.010097218395447e-9	3.959997513056961e-5
34.0	2.2160204189931925e-8	1.6533423495685301e-9	3.849986453449275e-6	1.1328433785694356e-8	1.0097873962990964e-9	3.959997545823637e-5
35.0	2.219789782228433e-8	1.6543128498875848e-9	3.84998677170623e-6	1.1333638800584646e-8	1.0104317819712937e-9	3.959997492855462e-5
36.0	2.224184189456661e-8	1.6553051243265e-9	3.849987667295054e-6	1.132732359220194e-8	1.009928277372661e-9	3.959997528460723e-5
37.0	2.2259916945123123e-8	1.655547688610469e-9	3.849988391621239e-6	1.132730679115144e-8	1.0102791102284242e-9	3.959997476353358e-5
38.0	2.220827736967165e-8	1.6557794879257473e-9	3.849987900064692e-6	1.131836278137913e-8	1.0100820106986954e-9	3.959997493900673e-5
39.0	2.2184868281683894e-8	1.6552349966070348e-9	3.849987238479735e-6	1.1317147863353805e-8	1.0103999010039137e-9	3.959997469299777e-5
40.0	2.2228291987724636e-8	1.6553230401839256e-9	3.849986959884584e-6	1.1308612201266567e-8	1.010509686575638e-9	3.959997481148191e-5
41.0	2.2263974317453624e-8	1.6570352947123669e-9	3.849986251872754e-6	1.131054466722682e-8	1.0105086085941638e-9	3.959997481357743e-5
42.0	2.2222652371817237e-8	1.6554577215551942e-9	3.849986824834761e-6	1.1305091524892914e-8	1.0105739932212092e-9	3.9599974909696366e-5
43.0	2.2214272283310095e-8	1.657374940631116e-9	3.8499880488293116e-6	1.1312385779833697e-8	1.0097523382295273e-9	3.959997495967833e-5
44.0	2.220802685204683e-8	1.6579806219191622e-9	3.8499885219275195e-6	1.1312697342482133e-8	1.009616242677308e-9	3.959997503257577e-5
45.0	2.225516948303642e-8	1.6579049308274117e-9	3.849987624669692e-6	1.1320781496054068e-8	1.0086533376759658e-9	3.959997501268358e-5
46.0	2.220454609834467e-8	1.657822302517827e-9	3.849986857520978e-6	1.132391942379227e-8	1.0086930449573307e-9	3.959997502514771e-5
47.0	2.2199665348312818e-8	1.657299810900015e-9	3.849987358719265e-6	1.132800138907272e-8	1.0084975928990701e-9	3.959997501884547e-5
48.0	2.223923507794116e-8	1.658024345003775e-9	3.849986904795602e-6	1.1330278401329558e-8	1.0087053341386826e-9	3.959997488235164e-5
49.0	2.225233772606325e-8	1.656295208714529e-9	3.849987352240676e-6	1.1328623243060375e-8	1.0090833469656672e-9	3.9599975075050486e-5
50.0	2.2226046221892107e-8	1.6579661163040918e-9	3.849988321804189e-6	1.1328841739007278e-8	1.00914298776286e-9	3.959997482138205e-5
