turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042863688674095e-8	1.6115897272034455e-9	3.849993070495706e-6	1.1281234336020398e-8	1.0034661128962659e-9	3.9598392805126434e-5
1.0	2.0927491608574237e-8	1.6251553500388152e-9	3.849994126918129e-6	1.1284040984579863e-8	1.0052052579888477e-9	3.9598392728848434e-5
2.0	2.1047454349882294e-8	1.6228326851260612e-9	3.849995245386681e-6	1.1305264985067662e-8	1.0058951848532393e-9	3.9598393320692235e-5
3.0	2.0857579665817807e-8	1.6299830674042121e-9	3.84999350826517e-6	1.1323465482633505e-8	1.007272979097281e-9	3.959839269892057e-5
4.0	2.0762206723027334e-8	1.6408240203635947e-9	3.849993625055832e-6	1.134008149251187e-8	1.008226847513456e-9	3.959839289846163e-5
5.0	2.140755575655636e-8	1.633231555120837e-9	3.849993549345653e-6	1.1348107491885876e-8	1.0079928033891966e-9	3.959839243575155e-5
6.0	2.1964438179341523e-8	1.6394058740285315e-9	3.849992493326064e-6	1.1362197932943998e-8	1.0095496228472298e-9	3.959839250272399e-5
7.0	2.1569249458287033e-8	1.634228159983585e-9	3.849994016311003e-6	1.1361067524670809e-8	1.009380137921591e-9	3.959839232233713e-5
8.0	2.1352286005735168e-8	1.6361916696466676e-9	3.8499944459674764e-6	1.1355235811999911e-8	1.0106622323494925e-9	3.95983920443297e-5
9.0	2.1783774761313487e-8	1.6451419857783904e-9	3.849993526239172e-6	1.134665423983706e-8	1.011166249046001e-9	3.9598392358041364e-5
10.0	2.2501668177788647e-8	1.6405734530350366e-9	3.849993189025469e-6	1.1326129237069543e-8	1.0123625772661887e-9	3.9598392032025064e-5
11.0	2.2337328435317253e-8	1.6451722096040828e-9	3.849993563009405e-6	1.1306567990174151e-8	1.0132654574459177e-9	3.9598392600096065e-5
12.0	2.184592408560513e-8	1.6459285475805807e-9	3.849993315563141e-6	1.129308004995551e-8	1.0135337261539797e-9	3.9598391994144205e-5
13.0	2.1949519308397275e-8	1.644653235606137e-9	3.849993561063254e-6	1.1288102441495348e-8	1.013893455000626e-9	3.959839226693245e-5
14.0	2.2355053689353192e-8	1.6490877072869473e-9	3.84999392554278e-6	1.1282380816555385e-8	1.013614371828444e-9	3.959839193839168e-5
15.0	2.2420801455389925e-8	1.6476734151539186e-9	3.849993210777931e-6	1.1291634808924894e-8	1.0135998057066035e-9	3.959839180082368e-5
16.0	2.2170262039234053e-8	1.6456465362174506e-9	3.849993184352009e-6	1.1300915136458529e-8	1.0131434442336211e-9	3.959839180200697e-5
17.0	2.209190713977422e-8	1.646089628092845e-9	3.849993534023552e-6	1.1317744932433197e-8	1.0127870666572237e-9	3.959839155349665e-5
18.0	2.2165255151449334e-8	1.6460492018708159e-9	3.8499937820806546e-6	1.1330367252347228e-8	1.0120419787429345e-9	3.959839189565267e-5
19.0	2.218065097581248e-8	1.6473304295036046e-9	3.849994192639911e-6	1.1345438575644133e-8	1.0111313378931792e-9	3.959839151988441e-5
20.0	2.219830388408473e-8	1.6488836601753366e-9	3.84999375209479e-6	1.1351319901748234e-8	1.010096144073885e-9	3.9598391689835523e-5
21.0	2.22356293943275e-8	1.648055092656979e-9	3.84999308190326e-6	1.135118926589115e-8	1.0095331016040805e-9	3.959839159279699e-5
22.0	2.222509176410507e-8	1.6498195040880238e-9	3.8499932632106344e-6	1.13486275960764e-8	1.0085154310482128e-9	3.959839131428202e-5
23.0	2.212782078295006e-8	1.6493691492969118e-9	3.849993827942185e-6	1.133679588608847e-8	1.0082311881807263e-9	3.959839151354243e-5
24.0	2.2133007407262e-8	1.6488116934594593e-9	3.849993542403501e-6	1.1327545063345802e-8	1.0076277872341281e-9	3.9598390945029966e-5
25.0	2.223421919251534e-8	1.6490168005362794e-9	3.8499940097407135e-6	1.1314470878731367e-8	1.0074481438029238e-9	3.959839133889108e-5
26.0	2.2285236648814562e-8	1.6488515004508887e-9	3.849993819730658e-6	1.1309814968257418e-8	1.007635228631055e-9	3.9598390961640337e-5
27.0	2.2225373244031233e-8	1.6493020391444809e-9	3.849992925239489e-6	1.1303097601919666e-8	1.0074709385586015e-9	3.9598391420512575e-5
28.0	2.218025542552379e-8	1.6492000723311908e-9	3.849992726662897e-6	1.130772567294295e-8	1.0083493484925797e-9	3.959839129176033e-5
29.0	2.2177207227871474e-8	1.650733184415126e-9	3.8499938385285175e-6	1.1310312200004206e-8	1.0081809536866603e-9	3.959839147564505e-5
30.0	2.226058794332518e-8	1.6504242137671217e-9	3.849993476551785e-6	1.132127160219963e-8	1.009242309384249e-9	3.9598391507149504e-5
31.0	2.221213244392575e-8	1.6498673402488103e-9	3.849993176621418e-6	1.1328766458707328e-8	1.0091325721624527e-9	3.959839154136661e-5
32.0	2.2255416450749357e-8	1.6495433605219495e-9	3.8499934335893196e-6	1.1337161698846741e-8	1.009753962108191e-9	3.9598391667559004e-5
