turn	ele_ex	ele_ey	ele_ez	pro_ex	pro_ey	pro_ez
0.0	2.042908293953415e-8	1.6115840823421875e-9	3.8499871731240865e-6	1.1281249147272375e-8	1.0034676489862682e-9	3.959997587408601e-5
1.0	2.0896921279098858e-8	1.624582129897905e-9	3.84998760877004e-6	1.1285522178572913e-8	1.005090077896996e-9	3.959997591773143e-5
2.0	2.100251644490868e-8	1.6229903498745815e-9	3.849988227268768e-6	1.1296484899496679e-8	1.004901580003839e-9	3.9599976126712864e-5
3.0	2.0849277664600625e-8	1.6314593883036652e-9	3.84998845210914e-6	1.1314077726931037e-8	1.0069462356643979e-9	3.95999758111681e-5
4.0	2.0724875457922537e-8	1.6444668112090592e-9	3.849987991801896e-6	1.1324898331794844e-8	1.0076358153383038e-9	3.959997620968074e-5
5.0	2.131339844426728e-8	1.634254240572335e-9	3.849987522715025e-6	1.1333957078758821e-8	1.0079509005321473e-9	3.959997570702523e-5
6.0	2.1886606630869414e-8	1.642286496271272e-9	3.849986795288796e-6	1.1344029208508438e-8	1.009176323365829e-9	3.959997585151353e-5
7.0	2.152077318951568e-8	1.636261163015939e-9	3.849987639878077e-6	1.1349413069580983e-8	1.0088187475185132e-9	3.959997548634772e-5
8.0	2.1322913315426203e-8	1.6376951025464945e-9	3.849988026982468e-6	1.1347303113166794e-8	1.0099582823859374e-9	3.9599975318871264e-5
9.0	2.1676143702606264e-8	1.6495991153691943e-9	3.849987884369109e-6	1.1340549379685103e-8	1.009636904576074e-9	3.959997548944622e-5
10.0	2.2428042187795977e-8	1.6432117091207454e-9	3.84998812154912e-6	1.1328080161290146e-8	1.0110347991688728e-9	3.959997512389276e-5
11.0	2.230584914540872e-8	1.6495141894616165e-9	3.849987728309897e-6	1.1306581363917618e-8	1.011257860918733e-9	3.9599975409974306e-5
12.0	2.1819781303593042e-8	1.6511643657152145e-9	3.849987168178385e-6	1.129841904448926e-8	1.0120150305981467e-9	3.959997485115459e-5
13.0	2.1893199493432363e-8	1.6493856208655262e-9	3.849987721701395e-6	1.1288799896866481e-8	1.0123027676433697e-9	3.959997500499236e-5
14.0	2.231885088396417e-8	1.6534925448231082e-9	3.849988405739271e-6	1.1285689063730112e-8	1.012305397765952e-9	3.959997481216244e-5
15.0	2.243770888131972e-8	1.6492292211226958e-9	3.849987311621865e-6	1.1285465125536037e-8	1.0123251641799524e-9	3.959997469918886e-5
16.0	2.217840524349979e-8	1.6478017967768235e-9	3.849986992835552e-6	1.1293277918305494e-8	1.0113011536709725e-9	3.959997459727057e-5
17.0	2.2064838093157627e-8	1.6476978512321566e-9	3.84998786791996e-6	1.130161842725345e-8	1.0114946374788014e-9	3.959997416500732e-5
18.0	2.214360532082105e-8	1.6483533548862574e-9	3.84998757625733e-6	1.1313752737670591e-8	1.009962518847611e-9	3.959997418592218e-5
19.0	2.2195350548445003e-8	1.650542665492054e-9	3.849988147575459e-6	1.1324184771818946e-8	1.0100502549434906e-9	3.959997387766362e-5
20.0	2.220068348516949e-8	1.652584841465623e-9	3.84998804038551e-6	1.1335401567235529e-8	1.009016269658183e-9	3.959997398592201e-5
21.0	2.2229170584012612e-8	1.6520883337787197e-9	3.84998682829876e-6	1.1336168560942828e-8	1.0090041984630873e-9	3.959997399832859e-5
22.0	2.218133387592157e-8	1.6525360986357347e-9	3.84998686474815e-6	1.1341641130307297e-8	1.008497378665151e-9	3.959997398770566e-5
23.0	2.2140507919053573e-8	1.6517934170150752e-9	3.849987620257177e-6	1.133359046436221e-8	1.0081933548516832e-9	3.959997443656641e-5
24.0	2.2116043047711958e-8	1.6506276884077362e-9	3.849987878807984e-6	1.1327998234126918e-8	1.0081988755279019e-9	3.959997408533026e-5
25.0	2.2222009797116232e-8	1.6500891420112127e-9	3.8499880631876246e-6	1.1318553968744614e-8	1.0075810743630243e-9	3.9599974596846095e-5
26.0	2.2271738864810225e-8	1.6514407544195165e-9	3.8499875975700915e-6	1.1311340869605401e-8	1.0080258080876958e-9	3.9599974157089554e-5
27.0	2.2204469172996026e-8	1.6513214986773404e-9	3.849986574599486e-6	1.1303488787719763e-8	1.0073727744403013e-9	3.959997479600556e-5
28.0	2.2164105911815006e-8	1.651749666645168e-9	3.849986410537175e-6	1.130292314028427e-8	1.008197392736094e-9	3.959997458947191e-5
29.0	2.2160118994801977e-8	1.6540746671033897e-9	3.849987450423778e-6	1.130137874861478e-8	1.0079845243070415e-9	3.959997512147123e-5
30.0	2.2211045224610983e-8	1.6541181983951765e-9	3.8499882934264194e-6	1.1307567218517413e-8	1.0087741122174081e-9	3.959997507835402e-5
31.0	2.2245358880297734e-8	1.6539365211832167e-9	3.849988188187336e-6	1.1312431193360134e-8	1.0091067617994796e-9	3.959997528521268e-5
