# Median |K_num - K_exact| / max|K_exact|, 81x81 field grid +-4 sigma
family_case	soft_gaussian	pic	hybrid	spectral
# family=round (gate) sigx=0.002 sigy=0.002 picgrid=128 hybgrid=64 spectral=(127, 127) domain_factor=16.0 seed=44
1e+04	0.0028919548848351634	0.0037271803097749558	0.003589560713733368	0.003763805614510196
1e+05	0.0007107477365098879	0.0010754034355297368	0.0010071122660689372	0.001497186380920702
1e+06	0.0004033388397749341	0.00047373789570347966	0.00043180532155124917	0.0011522808630904761
deterministic	6.269225750620516e-5	0.00040718749441048666	0.0001565443659572976	0.0012336911119515358
# family=flat 11:1 sigx=0.002 sigy=0.00018181818181818183 picgrid=128 hybgrid=64 spectral=(127, 383) domain_factor=8.0 seed=44
1e+04	0.003519392521584303	0.006626215355952579	0.005905517672140272	0.006708789626520472
1e+05	0.0010042861063351322	0.0019260714754046639	0.0018532600022834428	0.0037350426838718
1e+06	0.0005080636882730595	0.0008290798188089423	0.0005981648796396053	0.0030004414408571784
deterministic	0.00047785229597137373	0.0009656169664357046	0.00023757252261572882	0.003776367528549289
