# Median |K_num - K_exact| / max|K_exact|, 81x81 field grid +-4 sigma
family_case	soft_gaussian	pic	hybrid	spectral
# family=round (gate) sigx=0.002 sigy=0.002 picgrid=64 hybgrid=128 spectral=(127, 127) domain_factor=16.0 seed=20260727
1e+04	0.0024843349523042727	0.0038928193917285667	0.0039395729898791055	0.003908851391042094
1e+05	0.0006009958881833927	0.0010075979863039524	0.0009585535941485033	0.0013830974422926303
1e+06	0.00029897073463386846	0.000674073810500314	0.0003620979279052181	0.0011356285133428828
deterministic	6.269225750620516e-5	0.0007982122091995423	0.0001767427631652204	0.0012336911119515358
# family=flat 11:1 sigx=0.002 sigy=0.00018181818181818183 picgrid=64 hybgrid=128 spectral=(127, 383) domain_factor=8.0 seed=20260727
1e+04	0.002073053310690701	0.004821872666697738	0.005593760174500551	0.005510071533050649
1e+05	0.0008080575021055148	0.0021644541024053703	0.001917501080353156	0.0035005344748111514
1e+06	0.0002605015545953247	0.0020770421024749767	0.0005246023059035375	0.003007398297158905
deterministic	0.00047785229597137373	0.0024473630052972506	0.0003022244168259316	0.003776367528549289
