case	grid	pic_floor_median
round	48	0.0011351875376493785
round	64	0.0005951947550728952
round	96	0.00026212494539664836
round	128	0.00014187138782730639
round	192	6.273629449529596e-5
round	256	3.417086731865078e-5
5:1	48	0.003524683739638934
5:1	64	0.0019139900897608931
5:1	96	0.000705662673942898
5:1	128	0.0004498351866238553
5:1	192	0.00015617369746589077
5:1	256	9.91806512170136e-5
production_e ~11:1	48	0.0035478928603095462
production_e ~11:1	64	0.0018131954968205685
production_e ~11:1	96	0.0007567078584703017
production_e ~11:1	128	0.00043333685531528495
production_e ~11:1	192	0.0001704483698736673
production_e ~11:1	256	0.0001073282468030262
25:1	48	0.003520505024204496
25:1	64	0.0018102410684467003
25:1	96	0.0008025335268135107
25:1	128	0.00043725022907272577
25:1	192	0.00018521208182359957
25:1	256	0.00011113007018352978
