turn	pro_ex	pro_ey
250	1.1329585683702161e-8	1.0103996116241746e-9
500	1.1328615514808055e-8	1.0109572556263127e-9
750	1.1328291918265178e-8	1.0118889345463266e-9
1000	1.1328751141562618e-8	1.0126634525524283e-9
1250	1.1328983875576213e-8	1.0133503486786083e-9
1500	1.1328820590332587e-8	1.014174593684735e-9
1750	1.1329751995239225e-8	1.01499987632786e-9
2000	1.1328245439872712e-8	1.0161746707020722e-9
2250	1.1328856710710211e-8	1.017289650640957e-9
2500	1.1327970719598729e-8	1.0186432887353083e-9
2750	1.13273950948064e-8	1.0200609765210875e-9
3000	1.1326924632895856e-8	1.0215511861575175e-9
3250	1.1327746693803389e-8	1.0233952625744123e-9
3500	1.1327535430062134e-8	1.0258310580947025e-9
3750	1.1327456067383852e-8	1.027579776076339e-9
4000	1.1325545569778759e-8	1.0296405696353685e-9
4250	1.1323248345210453e-8	1.0314765067903244e-9
4500	1.132299825774204e-8	1.0329845500715833e-9
4750	1.1320078024262635e-8	1.0341886060350565e-9
5000	1.1320214049342733e-8	1.0355425861586647e-9
5250	1.1317627052284681e-8	1.035997282133489e-9
5500	1.1316862877965914e-8	1.0374447220682983e-9
5750	1.1314971692230865e-8	1.0386967149659107e-9
6000	1.1315658175737106e-8	1.0391412888342653e-9
6250	1.1311910222252333e-8	1.0404492432057643e-9
6500	1.1309892514908277e-8	1.0409814012706076e-9
6750	1.1312150294058705e-8	1.0419418262504142e-9
7000	1.1306354008480086e-8	1.042851582249928e-9
7250	1.1310800712507142e-8	1.043769189696177e-9
7500	1.1307878250595778e-8	1.0442540299126565e-9
7750	1.1307607696319874e-8	1.0445972692564177e-9
8000	1.1305824414482084e-8	1.04549201497499e-9
8250	1.1306664327268552e-8	1.0460059783020446e-9
8500	1.1303875623045071e-8	1.046416391615487e-9
8750	1.1306116924869403e-8	1.0472508747019531e-9
9000	1.1303710725879304e-8	1.047404331373514e-9
9250	1.1303437747315458e-8	1.0477655516719827e-9
9500	1.1305282411897526e-8	1.0482277202264105e-9
9750	1.130329432914928e-8	1.04864944780736e-9
10000	1.1303730917606301e-8	1.0495191629448847e-9
