turn	pro_ex	pro_ey
250	1.1322004276916958e-8	1.0091223655532862e-9
500	1.1321275810717357e-8	1.0092801155441232e-9
750	1.1320383810005462e-8	1.0097171435437943e-9
1000	1.132109656704988e-8	1.0098301276811871e-9
1250	1.1321301710673931e-8	1.010127976336583e-9
1500	1.1322320383925904e-8	1.010632493708432e-9
1750	1.1321591638721192e-8	1.0108296796199932e-9
2000	1.1322662758361654e-8	1.0107673179371953e-9
2250	1.1321804108709339e-8	1.0113198124923502e-9
2500	1.1322309935203609e-8	1.0116552777929565e-9
2750	1.1322590887991062e-8	1.012063571862049e-9
3000	1.1322260518113534e-8	1.0122793852046887e-9
3250	1.13230489375913e-8	1.012696128415211e-9
3500	1.1322374826648805e-8	1.0130870743411717e-9
3750	1.132322028547263e-8	1.013336116833507e-9
4000	1.132168192228745e-8	1.0138101045082647e-9
4250	1.1322435069335508e-8	1.0142082232099466e-9
4500	1.1322306812274803e-8	1.0144645531376357e-9
4750	1.132126172944345e-8	1.0149090951173887e-9
5000	1.1322177134102409e-8	1.0153118943465122e-9
5250	1.1321267400632395e-8	1.0156573812782386e-9
5500	1.1319719194544634e-8	1.0159006005725035e-9
5750	1.1320840863243736e-8	1.0163089449105943e-9
6000	1.1320332026571119e-8	1.0165979005751252e-9
6250	1.132193686921593e-8	1.0168896920403895e-9
6500	1.1319970053126638e-8	1.0171099045001032e-9
6750	1.1320553206397775e-8	1.017303510719468e-9
7000	1.1319777213172686e-8	1.0178027687049492e-9
7250	1.131907314568187e-8	1.01802609039483e-9
7500	1.1321224191171779e-8	1.0183100925522587e-9
7750	1.1319968228205614e-8	1.0185698728266424e-9
8000	1.1318965939301173e-8	1.0188215474211886e-9
8250	1.1317560315850593e-8	1.0190987085235014e-9
8500	1.1317240107529124e-8	1.0194014658909155e-9
8750	1.1317994439759793e-8	1.0196827412016678e-9
9000	1.1318183688721773e-8	1.019924441942115e-9
9250	1.1316898529545605e-8	1.0201822830575593e-9
9500	1.1316829086471095e-8	1.0205256080595775e-9
9750	1.131813390800707e-8	1.0208188737474207e-9
10000	1.1316913061220865e-8	1.0208289806209617e-9
