# Widening the particle solver's periodic box at fixed dx = L/ngrid.
# Demonstrates the m=1-vs-exact difference is a box artifact, not truncation.
aspect_ratio	L	ngrid	Y_1d_sim	Y_m1_matrix	spread_percent
0.2	24.0	4096	1.2462120240028463	1.2606124772944038	1.1555379834406576
0.2	48.0	8192	1.2525835129482688	1.2606124772944038	0.6409923380866545
0.2	96.0	16384	1.254284483913115	1.2606124772944038	0.5045102177734684
0.2	192.0	32768	1.254816662192082	1.2606124772944038	0.461885411387275
0.5	24.0	4096	1.1899158488831774	1.2060095798128945	1.3525100068901619
0.5	48.0	8192	1.200603183853527	1.2060095798128945	0.4503066485310292
0.5	96.0	16384	1.2027235933868563	1.2060095798128945	0.27321210327178047
0.5	192.0	32768	1.2033230488934121	1.2060095798128945	0.22325932524545067
1.0	24.0	4096	1.142738195771792	1.1619516214934067	1.6813497433362912
1.0	48.0	8192	1.1557883061518337	1.1619516214934067	0.5332564197758405
1.0	96.0	16384	1.1594152915155365	1.1619516214934067	0.21875940367794833
1.0	192.0	32768	1.160507877485789	1.1619516214934067	0.1244062221055664
11.111	24.0	4096	1.0011939455678187	1.082354767720628	8.106403610619072
11.111	48.0	8192	1.0570781222216996	1.082354767720628	2.391180459378295
11.111	96.0	16384	1.078169455900102	1.082354767720628	0.38818682885353173
11.111	192.0	32768	1.0826357152895039	1.082354767720628	0.02595033259186197
50.0	24.0	4096	0.9538647548397949	1.0732541758566416	12.516388765920873
50.0	48.0	8192	1.0235776986260714	1.0732541758566416	4.853219965348021
50.0	96.0	16384	1.0552938032189207	1.0732541758566416	1.7019310246053854
50.0	192.0	32768	1.0711002025571181	1.0732541758566416	0.20109914034009968
