xi	Y_eff
0.0005	1.2008997593322412
0.001	1.2018079500035195
0.0015	1.2027246461536005
0.002	1.2036499232190856
0.0025	1.2045838579595625
0.003	1.2055265284852494
0.0035	1.206478014285068
0.004	1.207438396255478
0.0045	1.2084077567302565
0.005	1.209386179510985
0.0055	1.2103737498984888
0.006	1.211370554725107
0.0065	1.2123766823879305
0.007	1.213392222882946
0.0075	1.2144172678401954
0.008	1.2154519105599462
0.0085	1.2164962460499074
0.009	1.217550371063519
0.0095	1.2186143841394346
0.01	1.2196883856420704
0.0105	1.220772477803484
0.011	1.2218667647663672
0.0115	1.2229713526284702
0.012	1.224086349488257
0.0125	1.2252118654920396
0.013	1.2263480128824868
0.0135	1.2274949060486968
0.014	1.2286526615777456
0.0145	1.2298213983079083
0.015	1.2310012373835222
0.0155	1.2321923023115908
0.016	1.2333947190201686
0.0165	1.2346086159186298
0.017	1.2358341239599053
0.0175	1.2370713767046633
0.018	1.2383205103876391
0.0185	1.2395816639861381
0.019	1.240854979290782
0.0195	1.2421406009786142
0.02	1.243438676688649
0.0205	1.2447493570999908
0.021	1.2460727960125548
0.0215	1.2474091504306115
0.022	1.2487585806491361
0.0225	1.2501212503432133
0.023	1.2514973266605005
0.0235	1.2528869803169933
0.024	1.2542903856961538
0.0245	1.2557077209515675
0.025	1.2571391681132904
